Title,Certificate,Runtime,Genres,IMDb-rating,Metascore,Description,Directors,Stars,Votes,Gross
Donnie Darko,R,113 min,"Drama, Mystery, Sci-Fi",8,88,"After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes.",Richard Kelly,"Jake Gyllenhaal, Jena Malone, Mary McDonnell, Holmes Osborne",721665,1480006
Napoleon Dynamite,PG,96 min,Comedy,6.9,64,"A listless and alienated teenager decides to help his new friend win the class presidency in their small western high school, while he must deal with his bizarre family life back home.",Jared Hess,"Jon Heder, Efren Ramirez, Jon Gries, Aaron Ruell",192637,44540956
Eagle vs Shark,R,88 min,"Comedy, Romance",6.8,,"The tale of two socially-awkward misfits and the strange ways they try to find love: through revenge on high-school bullies, burgers, and video games.",Taika Waititi,"Loren Taylor, Jemaine Clement, Craig Hall, Joel Tobeck",22224,221846
Clerks,R,92 min,Comedy,7.7,70,"A day in the lives of two convenience clerks named Dante and Randal as they annoy customers, discuss movies, and play hockey on the store roof.",Kevin Smith,"Brian O'Halloran, Jeff Anderson, Marilyn Ghigliotti, Lisa Spoonauer",207745,3151130
Happiness,Unrated,134 min,"Comedy, Drama",7.7,81,"The lives of several individuals intertwine as they go about their lives in their own unique ways, engaging in acts society as a whole might find disturbing in a desperate search for human connection.",Todd Solondz,"Jane Adams, Jon Lovitz, Philip Seymour Hoffman, Dylan Baker",64671,2807390
Stranger Than Paradise,R,89 min,"Comedy, Drama",7.5,86,"A New Yorker's life is thrown into a tailspin when his younger cousin surprise-visits him, starting a strange, unpredictable adventure.",Jim Jarmusch,"John Lurie, Eszter Balint, Richard Edson, Cecillia Stark",33171,2436000
Eraserhead,Not Rated,89 min,Horror,7.4,87,"Henry Spencer tries to survive his industrial environment, his angry girlfriend, and the unbearable screams of his newly born mutant child.",David Lynch,"Jack Nance, Charlotte Stewart, Allen Joseph, Jeanne Bates",97096,7000000
"Sex, Lies, and Videotape",R,100 min,Drama,7.2,86,A sexually repressed woman's husband is having an affair with her sister. The arrival of a visitor with a rather unusual fetish changes everything.,Steven Soderbergh,"James Spader, Andie MacDowell, Peter Gallagher, Laura San Giacomo",47751,24741700
La Strada,Not Rated,108 min,Drama,8,,"A care-free girl is sold to a traveling entertainer, consequently enduring physical and emotional pain along the way.",Federico Fellini,"Anthony Quinn, Giulietta Masina, Richard Basehart, Aldo Silvani",55966,
Sideways,R,127 min,"Comedy, Drama, Romance",7.5,94,"Two men reaching middle age with not much to show but disappointment embark on a week-long road trip through California's wine country, just as one is about to take a trip down the aisle.",Alexander Payne,"Paul Giamatti, Thomas Haden Church, Virginia Madsen, Sandra Oh",175279,71503593
Transamerica,R,103 min,"Adventure, Comedy, Drama",7.4,66,"A preoperative transgender woman takes an unexpected journey when she learns that she fathered a son, now a teenage runaway hustling on the streets of New York.",Duncan Tucker,"Felicity Huffman, Kevin Zegers, Fionnula Flanagan, Andrea James",39729,9015303
Naked Lunch,R,115 min,Drama,7.1,67,"After developing an addiction to the substance he uses to kill bugs, an exterminator accidentally kills his wife, and becomes involved in a secret government plot being orchestrated by giant bugs in a port town in North Africa.",David Cronenberg,"Peter Weller, Judy Davis, Ian Holm, Julian Sands",45246,2541541
Me and You and Everyone We Know,R,91 min,"Comedy, Drama",7.3,76,A lonely shoe salesman and an eccentric performance artist struggle to connect in this unique take on contemporary life.,Miranda July,"John Hawkes, Miranda July, Miles Thompson, Brandon Ratcliff",34121,3885134
Roger Dodger,R,106 min,"Comedy, Drama",6.9,75,"After breaking up with his lover and boss, a smooth-talking man takes his teenaged nephew out on the town in search of sex.",Dylan Kidd,"Campbell Scott, Jesse Eisenberg, Isabella Rossellini, Elizabeth Berkley",16656,1266828
Submarine,R,97 min,"Comedy, Drama, Romance",7.3,76,"15-year-old Oliver Tate has two objectives: To lose his virginity before his next birthday, and to extinguish the flame between his mother and an ex-lover who has resurfaced in her life.",Richard Ayoade,"Craig Roberts, Sally Hawkins, Paddy Considine, Noah Taylor",83179,466702
Lars and the Real Girl,PG-13,106 min,"Comedy, Drama, Romance",7.3,70,A delusional young man strikes up an unconventional relationship with a doll he finds on the Internet.,Craig Gillespie,"Ryan Gosling, Emily Mortimer, Paul Schneider, R.D. Reid",135329,5972884
Eternal Sunshine of the Spotless Mind,R,108 min,"Drama, Romance, Sci-Fi",8.3,89,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories.",Michel Gondry,"Jim Carrey, Kate Winslet, Tom Wilkinson, Gerry Robert Byrne",875589,34400301
Little Miss Sunshine,R,101 min,"Comedy, Drama",7.8,80,A family determined to get their young daughter into the finals of a beauty pageant take a cross-country trip in their VW bus.,"Jonathan Dayton, Valerie Faris","Steve Carell, Toni Collette, Greg Kinnear, Abigail Breslin",426660,59891098
Beginners,R,105 min,"Comedy, Drama, Romance",7.2,81,A young man is rocked by two announcements from his elderly father: that he has terminal cancer and that he has a young male lover.,Mike Mills,"Ewan McGregor, Christopher Plummer, Mélanie Laurent, Goran Visnjic",86034,5790894
Brick,R,110 min,"Action, Crime, Drama",7.3,72,A teenage loner pushes his way into the underworld of a high school crime ring to investigate the disappearance of his ex-girlfriend.,Rian Johnson,"Joseph Gordon-Levitt, Lukas Haas, Emilie de Ravin, Meagan Good",98907,2060589
Stranger Than Fiction,PG-13,113 min,"Comedy, Drama, Fantasy",7.5,67,"I.R.S. auditor Harold Crick suddenly finds himself the subject of narration only he can hear: narration that begins to affect his entire life, from his work, to his love-interest, to his death.",Marc Forster,"Will Ferrell, Emma Thompson, Dustin Hoffman, Queen Latifah",213642,40137776
Garden State,R,102 min,"Comedy, Drama, Romance",7.4,67,A quietly troubled young man returns home for his mother's funeral after being estranged from his family for a decade.,Zach Braff,"Zach Braff, Peter Sarsgaard, Natalie Portman, Ian Holm",204261,26782316
Flipped,PG,90 min,"Comedy, Drama, Romance",7.7,,Two eighth-graders start to have feelings for each other despite being total opposites.,Rob Reiner,"Madeline Carroll, Callan McAuliffe, Rebecca De Mornay, Anthony Edwards",78510,1752214
Good Bye Lenin!,R,121 min,"Comedy, Drama, Romance",7.7,68,"In 1990, to protect his fragile mother from a fatal shock after a long coma, a young man must keep her from learning that her beloved nation of East Germany as she knew it has disappeared.",Wolfgang Becker,"Daniel Brühl, Katrin Saß, Chulpan Khamatova, Florian Lukas",134235,4064200
The Tree of Life,PG-13,139 min,"Drama, Fantasy",6.8,85,"The story of a family in Waco, Texas in 1956. The eldest son witnesses the loss of innocence and struggles with his parents' conflicting teachings.",Terrence Malick,"Brad Pitt, Sean Penn, Jessica Chastain, Hunter McCracken",163413,13303319
Cashback,R,102 min,"Comedy, Drama, Romance",7.2,,"After a painful breakup, Ben develops insomnia. To kill time, he starts working the late night shift at the local supermarket, where his artistic imagination runs wild.",Sean Ellis,"Sean Biggerstaff, Emilia Fox, Michelle Ryan, Erica Ellis",81382,24942
An Education,PG-13,100 min,Drama,7.3,85,"A coming-of-age story about a teenage girl in 1960s suburban London, and how her life changes with the arrival of a playboy nearly twice her age.",Lone Scherfig,"Carey Mulligan, Peter Sarsgaard, Alfred Molina, Olivia Williams",125919,12574715
