season,episode,release,title,rating,description
1,1,26 Sep. 2014,Spark of Rebellion,7.5,Ezra Bridger encounters the Ghost crew and joins them on a mission to free Wookiees from an Imperial Star Destroyer.
1,2,13 Oct. 2014,Droids in Distress,7.1,Ezra and Zeb go to Lothal's market for provisions and to work on their relationship.
1,3,20 Oct. 2014,Fighter Flight,6.5,"To prevent Ezra and Zeb from bickering, Hera sends them on a supply. En route back to the ghost, they encounter, Morad Sumar, a friend of Ezra's parents."
1,4,20 Oct. 2014,Rise of the Old Masters,8.1,The rebel crew undergoes a rescue mission only to face a powerful foe.
1,5,3 Nov. 2014,Breaking Ranks,7.5,The rebels send Ezra on an undercover mission into the Imperial Academy to steal a decoder.
1,6,3 Nov. 2014,Out of Darkness,6.9,"While on a supply run, Hera and Sabine find themselves stranded but not alone in a seemingly abandoned locale."
1,7,10 Nov. 2014,Empire Day,7.8,"While disrupting Empire Day festivities in order to destroy a prototype TIE fighter, the crew learns a refugee has important information and must get him off-planet before the Imperials find him."
1,8,17 Nov. 2014,Gathering Forces,8.2,Kanan and Ezra try to protect an Imperial deserter by distracting the Imperial forces.
1,9,29 Dec. 2014,Path of the Jedi,8.5,Ezra must face a great challenge as part of his growth as a member of the team.
1,10,12 Jan. 2015,Idiot's Array,7.6,The wrong gamble with a new acquaintance forces the crew into transporting some unusual cargo.
1,11,26 Jan. 2015,Vision of Hope,7.5,The crew of the Ghost try to thwart an Imperial plan to capture an exiled dignitary.
1,12,26 Jan. 2015,Call to Action,8.4,"As public awareness increases around rebel activity, they target an important Imperial network."
1,13,16 Feb. 2015,Rebel Resolve,8.0,The team tries to get Kanan's location to free him.
1,14,2 Mar. 2015,Fire Across the Galaxy,9.3,The crew has to go through many obstacles to save Kanan from the Inquisitor.
2,1,20 Jun. 2015,The Siege of Lothal,9.1,"Now a part of Phoenix Squadron, the Ghost crew joins a mission to steal shield generators from an Imperial freighter. Under pressure from Darth Vader, an Imperial defector leads the Sith Lord to battle with Kanan and Ezra."
2,2,20 Jun. 2015,The Siege of Lothal: Part 2,8.1,"After being confronted by Darth Vader, the Ghost crew seek help from Lando Calrissian to leave Lothal and continue the fight against the Empire with the rest of the rebel fleet."
2,3,14 Oct. 2015,The Lost Commanders,8.1,The rebels run into Captain Rex and his gang on a desert planet.
2,4,21 Oct. 2015,Relics of the Old Republic,8.4,"Ezra and the crew begin to develop friendships with Captain Rex and his colleagues, prompting them to work together against an attack by Agent Kallus."
2,5,28 Oct. 2015,Always Two There Are,7.9,"Ezra, Sabine, Zeb and Chopper travel to an abandoned medical station."
2,6,4 Nov. 2015,Brothers of the Broken Horn,7.3,"Ezra and Chopper take the Phantom to investigate a distress call from a smuggler's ship, where Ezra is tempted to join the crew of Hondo Ohnaka."
2,7,11 Nov. 2015,Wings of the Master,7.9,"Hera goes on a dangerous mission to acquire a new ship, the B-Wing."
