season,episode,release,title,rating,description
1,0,2007,Avatar: The Last Airbender,8.6,"Sokka and his sister Kya - later renamed Katara, must travel the world to find masters for Aang, who is the Avatar. However, they must evade a critical foe, Prince Zuko of the Fire Nation, who wants to capture Aang."
1,1,21 Feb. 2005,The Boy in the Iceberg,8.1,The legend of the Avatar is told. Katara and Sokka find a strange boy within an iceberg.
1,2,21 Feb. 2005,The Avatar Returns,8.3,Aang and Katara inadvertently set off a trap the brings the warmongering Fire Nation to the Southern Water Tribe's peaceful village at the South Pole.
1,3,25 Feb. 2005,The Southern Air Temple,8.5,"After his departure from the Southern Air Temple 100 years ago, an excited Aang finally returns home but is disillusioned by what he finds there."
1,4,4 Mar. 2005,The Warriors of Kyoshi,8.2,"The gang arrives at Kyoshi Island and are captured by some Kyoshi warriors. When Aang reveals that he is the avatar, news quickly spreads out and suddenly reaches to Prince Zuko who then goes to Kyoshi Island to capture him."
1,5,18 Mar. 2005,The King of Omashu,8.2,Aang's abilities as an airbender are challenged by a king.
1,6,25 Mar. 2005,Imprisoned,8.0,"In a nearby Earth Village, the gang meets a teenage earthbender named Haru. This village lives in fear of the Fire Nation, for soldiers there capture any earthbenders they can find."
1,7,8 Apr. 2005,"The Spirit World: Winter Solstice, Part 1",8.2,Aang and friends visit a village being terrorized by an angry spirit. Iroh is captured by Earth Kingdom soldiers.
1,8,15 Apr. 2005,"Avatar Roku: Winter Solstice, Part 2",8.9,"To contact the spirit of the previous Avatar, Aang must reach a temple in the Fire Nation before the sun sets on the following day. There he will learn what he must do to restore balance to the world. Zuko must defy his banishment to follow Aang."
1,9,29 Apr. 2005,The Waterbending Scroll,8.0,"Katara, desperate to improve her abilities and teach Aang, steals an expensive waterbending scroll from pirates, causing them to pursue the group."
1,10,6 May 2005,Jet,7.8,"Aang, Katara, and Sokka have their friendship tested by a charismatic Rebel Leader who is fighting against the Fire Nation."
1,11,20 May 2005,The Great Divide,7.1,Aang is tested as the Avatar when he must help two feuding clans cross a dangerous canyon peacefully.
1,12,3 Jun. 2005,The Storm,9.1,"Aang relives the events after finding out that he is the Avatar 100 years ago and tells them to Katara, while Iroh tells the story of Zuko's scar and banishment to the crew."
1,13,17 Jun. 2005,The Blue Spirit,9.1,"When Aang is captured by the Fire Nation, his only hope is a mysterious masked figure."
1,14,23 Sep. 2005,The Fortuneteller,7.9,The gang visits a village where a fortuneteller lives who is said to never be wrong. Aang tries to show Katara how he feels about her.
1,15,7 Oct. 2005,Bato of the Water Tribe,7.9,Sokka and Katara meet a friend of their father who offers to take them to join the Water Tribe's navy. Aang fears his friends will choose seeing their father again over staying with him.
1,16,21 Oct. 2005,The Deserter,8.5,"When he meets an outcast from the Fire Nation, Aang is impatient to skip ahead in his training."
1,17,4 Nov. 2005,The Northern Air Temple,8.1,Aang is upset when he finds an old Air Temple has been desecrated by an old inventor and his son.
1,18,18 Nov. 2005,The Waterbending Master,8.6,"The heroes finally arrive at the North Pole. But for Katara, the trip may have been in vain, as Master Pakku refuses to teach girls waterbending."
1,19,2 Dec. 2005,"The Siege of the North, Part 1",9.4,"While Katara herself becomes a great waterbending master, Commander Zhao plans a siege on the Northern Water Tribe. Meanwhile, Sokka's on a mission to stop this siege while Aang tries to buy them some time."
1,20,2 Dec. 2005,"The Siege of the North, Part 2",9.7,"As the Fire Nation continues its assault on the Northern Water Tribe, Sokka, Katara and Yue set out on a search for Aang, being guided by his spirit."
2,1,17 Mar. 2006,The Avatar State,8.7,"Aang and friends arrive in the Earth Kingdom to begin his earthbending training, but a local general convinces Aang that all he needs to do is learn to control his Avatar state. Azula, Zuko's sister, arrives to escort her brother and uncle back to the Fire Nation."
2,2,24 Mar. 2006,The Cave of Two Lovers,8.2,"On their way to Omashu, Team Avatar is forced to travel underground to avoid Fire Nation attacks. Iroh and Zuko adjust to life as fugitives."
2,3,7 Apr. 2006,Return to Omashu,8.4,"Finding the city of Aang's old friend, King Bumi, captured by the Fire Nation, the heroes hatch a plan to rescue Aang's earthbending teacher. Azula gathers two old friends to help her hunt the Avatar."
2,4,14 Apr. 2006,The Swamp,7.8,"Aang hears a swamp calling to him. In the swamp, Aang and the gang find out that this is not any natural swamp."
2,5,28 Apr. 2006,Avatar Day,7.5,Sokka and Katara have to solve a centuries-old crime when Aang is imprisoned for a murder allegedly committed by one of his past incarnations.
2,6,5 May 2006,The Blind Bandit,9.2,"While looking for an Earthbending teacher, Aang, and his friends discover a young blind girl with secrets of her own."
2,7,12 May 2006,Zuko Alone,9.5,"As Zuko tries to make it by in exile without his uncle, he remembers how his father became Firelord and what happened to his mother."
2,8,26 May 2006,The Chase,9.0,"Every time they land, Azula and her warriors find Aang, Katara, Sokka, and Toph. Toph refuses to help set up camp, claiming she carries her own weight and no one else's. After a fight between Aang, Katara and Toph, Toph storms off angrily. Aang lays a decoy trail for Azula and Sokka, Katara, Appa, and Momo, flee the other direction. Aang waits for Azula and is fighting her when Zuko and Iroh arrive. Soon, Katara, and Sokka come to the fight, too. Just as all hope of winning is lost, Toph arrives and, together, the six attack Azula. Knowing she is beat, Azula shoots ..."
2,9,2 Jun. 2006,Bitter Work,8.6,"Aang begins to learn earthbending from Toph; Uncle Iroh resumes teaching Zuko firebending to better prepare him for facing Azula, and reveals a new technique he learned from watching waterbenders."
2,10,14 Jul. 2006,The Library,8.8,"When he learns that there is a lost Library with all the knowledge in the world, Sokka convinces the others to seek it out in hopes of finding a weakness of the Fire Nation."
