season,episode,release,title,rating,description
1,1,25 Mar. 2005,Currahee,8.7,Easy Company goes through training under the leadership of a captain who relentlessly pushes them to their limits but may be limited as a leader in the field.
1,2,25 Mar. 2005,Day of Days,9.2,Easy Company paratroopers jump behind enemy lines in Normandy on D-Day and struggle to reunite in hostile territory.
1,3,1 Apr. 2005,Carentan,9.0,"Easy Company takes on German troops in the French town of Carentan, and the battle takes its toll on one soldier who is badly traumatized by the experience."
1,4,8 Apr. 2005,Replacements,8.9,"With the addition of many new men, Easy Company heads to Holland to participate in Operation Market Garden and prepare an Allied route into Germany, but they meet stiff German resistance."
1,5,15 Apr. 2005,Crossroads,8.9,"Winters writes a report on the challenge of an unexpected resistance to a German attack, and is haunted by his conscience after shooting a teenage German SS soldier."
1,6,22 Apr. 2005,Bastogne,9.2,"In the dead of winter, the men of Easy Company fend off frostbite and hunger - in addition to the enemy - while holding the line in a forest outside of Bastogne. Meanwhile, exhausted medic Eugene Roe finds friendship with a Belgian nurse."
1,7,29 Apr. 2005,The Breaking Point,9.4,"Easy Company remains in the Ardennes Forest preparing for an inevitable attack on German forces in the town of Foy. However, morale is low due to cold weather, constant shelling, poor leadership, and numerous casualties."
1,8,6 May 2005,The Last Patrol,8.8,"Easy Company is in Hagenau in Feburary 1945, where they prepare for a night patrol mission to capture German prisoners. The patrol includes one veteran who is despised for missing Bastogne and a new lieutenant fresh out of West Point."
1,9,13 May 2005,Why We Fight,9.5,"As the Allies move into Germany and the war comes closer to an end, disillusionment and anger set in for Easy Company - until they stumble onto a concentration camp abandoned by the German military."
1,10,20 May 2005,Points,9.2,"As the Germans surrender, it appears that the hard days for Easy Company are over as they are stationed in Austria. But they soon learn that those solders without enough service points will be sent to fight in Japan."
