season,episode,release,title,rating,description
1,1,2 Feb. 2011,Boardwalk Empire,8.6,"In 1920 Atlantic City, politician Enoch 'Nucky' Thompson makes arrangements to operate a liquor smuggling business during the early days of Prohibition. His driver, Jimmy Darmody, wishes to prove his usefulness."
1,2,9 Feb. 2011,The Ivory Tower,7.9,"The Feds begin to look into Nucky's affairs, his brother Eli looks to buy off Mrs. Schroeder, and Nucky essentially fires Jimmy Darmody as his chauffeur."
1,3,16 Feb. 2011,Broadway Limited,8.2,"When a witness turns up who can link Jimmy Darmody to the woods massacre, the Feds get involved, Nucky banishes him, and Rothstein recruits Luciano to kill him."
1,4,23 Feb. 2011,Anastasia,8.2,Jimmy forges new relationships in Chicago; Nucky fetes a U.S. Senator; Chalky fingers a lynching suspect; Margaret and Lucy clash.
1,5,2 Mar. 2011,Nights in Ballygran,8.4,"Nucky makes preparations for the annual Celtic Day dinner on St. Patrick's Day, and Jimmy tries to get Pearl through the trauma of her disfigurement with drugs,"
1,6,9 Mar. 2011,Family Limitation,8.3,Nucky investigates a boardwalk theft; Jimmy scores points with Johnny Torrio in Chicago; Margaret stands up to Lucy.
1,7,16 Mar. 2011,Home,8.6,"After Enoch's senile father breaks a leg in his isolated house, the brothers agree that he no longer can live alone and the house should be given to a loyal employee."
1,8,23 Mar. 2011,Hold Me in Paradise,8.2,"Nucky travels to Chicago and acts as kingmaker during the Presidential convention, but at home brother Eli is shot as a rival mob senses weakness in Thompson's operation."
1,9,30 Mar. 2011,Belle Femme,8.6,Jimmy arrives from Chicago under his new agreement with Nucky to retaliate against a rival gang element but gets a chilly reception from Angela.
1,10,6 Apr. 2011,The Emerald City,8.6,"Harrow guards Margaret and the kids, Jimmy mistakenly thinks Mr. Dittrich is Angela's lover, and Chalky pretends to align himself with Lansky."
1,11,13 Apr. 2011,Paris Green,8.4,"Van Alland remains suspicious of Sebso, the dying Commodore seeks a rapprochements with illegitimate son Jimmy, and Margaret leaves after a domestic argument with Nucky."
1,12,20 Apr. 2011,A Return to Normalcy,8.8,"Nucky's organizational skills are put to the test as the election approaches, his judgment's questioned as he handles the Commodore's poisoning, and he reveals his part to Margaret."
2,1,29 Feb. 2012,21,8.3,"Confidantes of Nucky plot against him, Gillian vies with Angela for control of the house, race relations hit a boiling point, and Van Alden celebrates his 13th anniversary."
2,2,7 Mar. 2012,Ourselves Alone,8.5,"After Nucky is released, he finds that most of his organization have deserted him for the Commodore, Margaret keeps her head, and the IRA asks Nucky for a donation."
2,3,14 Mar. 2012,A Dangerous Maid,8.3,The Commoore's faction cuts off Nucky's liquor supply as the treasurer's friends seem to be deserting him but he finds a willing ally in Owen Slater of Sinn Fein.
2,4,21 Mar. 2012,What Does the Bee Do?,8.3,"With the Commodore's Coast Guard seizing Nucky's liquor, he partners with Rothstein to bring it through Philly, but the Commodore suffers a debilitating stroke."
2,5,28 Mar. 2012,Gimcrack and Bunkum,8.8,"With the Commodore's stroke, the conspirators against Nucky realize their error and begin to make bad decisions."
