season,episode,release,title,rating,description
1,1,24 Feb. 2008,Dexter,8.8,"Dexter's world is rocked when a rival serial murderer, dubbed the Ice Truck Killer by the media, privately contacts him and reveals that he knows Dexter's grisly secret. Meanwhile, Dexter's sister Debra is transferred to Homicide."
1,2,6 Mar. 2008,Crocodile,8.3,"Dexter's world is rocked when a rival serial murderer, dubbed the Ice Truck Killer by the media, privately contacts him and reveals that he knows Dexter's grisly secret. Meanwhile, Dexter's sister Debra is transferred to Homicide."
1,3,13 Mar. 2008,Popping Cherry,8.4,Dexter and Debra try to dissuade their boss from pursuing a security guard they believe he has wrongly identified as the Ice Truck Killer; Dexter's girlfriend receives an unwelcome visit from an associate of her imprisoned husband.
1,4,20 Mar. 2008,Let's Give the Boy a Hand,8.7,"The Ice Truck Killer begins leaving body parts from his victims at sites that relate to memories from Dexter's childhood, forcing him to confront his dark personal history."
1,5,27 Mar. 2008,Love American Style,8.6,"The Homicide Division is buzzing after the Ice Truck Killer's latest victim is found mutilated but alive, while Dexter gets in over his head when he stalks a murderous human trafficker."
1,6,3 Apr. 2008,Return to Sender,9.0,"The Ice Truck Killer leaves Dexter a surprise at the scene of one of Dexter's recent kills, placing him firmly in the cross hairs of his own Homicide Division colleagues."
1,7,10 Apr. 2008,Circle of Friends,8.8,"The Ice Truck Killer is finally identified, but something about the suspect doesn't sit right with Dexter, who must also deal with the menacing return of Rita's paroled ex-husband."
1,8,17 Apr. 2008,Shrink Wrap,9.0,"The strange suicide of a powerful woman leads Dexter to suspect her shrink of murder, but he gets a shock when a visit to the suspect opens up dark secrets from Dexter's past."
1,9,24 Apr. 2008,Father Knows Best,8.7,"Dexter is joined by Rita, Debra and Rudy for a weekend away when he learns that his biological father, whom he was told died thirty years ago, has just recently passed away and left him everything he owned, including his house."
1,10,1 May 2008,Seeing Red,9.2,"The Ice Truck Killer leaves Dexter the most horrifying crime scene imaginable, forcing him to confront a horrific suppressed memory from his past; Rita must hire a lawyer when her ex sues for sole custody of their children."
1,11,8 May 2008,Truth Be Told,9.3,"The Ice Truck Killer kidnaps someone close to Dexter, forcing him into a trap that will forever change his life, while Doakes begins to harbor suspicions about Dexter's odd behavior."
1,12,15 May 2008,Born Free,9.6,"In the Season One finale, Dexter follows the clues left for him by the Ice Truck Killer in an effort to rescue his kidnapped loved one, while Rita's ex tries to convince her that Dexter is too dangerous to be around their children."
2,1,20 Oct. 2008,It's Alive!,8.8,"In the Season Two premiere, Dexter finds himself unable to kill again after the harrowing conclusion to the Ice Truck Killer case, and strays from his personal code with disastrous results; Debra returns to work but may not be ready."
2,2,27 Oct. 2008,Waiting to Exhale,8.6,"Dexter remains on the trail of a dangerous new victim, while the traumatized Debra loses control on the job and a high-profile FBI agent arrives in Miami to investigate a newly discovered serial killer."
2,3,3 Nov. 2008,An Inconvenient Lie,8.7,"Dexter's inability to deceive has him pursuing a slick liar as his next victim, while Rita believes he's concealing a drug problem and forces him into a 12-step program where he meets Lila, a seductive new woman."
2,4,10 Nov. 2008,See-Through,8.5,"Rita finds herself threatened by Dexter's sexy new NA sponsor Lila, and stressed by a visit from her estranged mother, while Dexter tries to throw the dogged FBI Agent Lundy off his bloody trail."
2,5,17 Nov. 2008,The Dark Defender,8.7,"Dexter discovers that the man is still alive who murdered his mother in front of him as a boy, and confronts the killer as part of his recovery from addiction - but he also discovers that old impulses die hard."
2,6,24 Nov. 2008,"Dex, Lies, and Videotape",8.6,"A new copycat killer openly mimics and claims to be inspired by the ""Bay Harbor Butcher,"" driving the annoyed Dexter into the arms of Lila, a development that could spell the end of his relationship with Rita."
2,7,1 Dec. 2008,"That Night, a Forest Grew",8.8,"A written manifesto from the ""Bay Harbor Butcher"" sends the task force in charge of capturing him into chaos, which is part of Dexter's plan for keeping Lundy off his trail."
2,8,8 Dec. 2008,Morning Comes,9.1,"Dexter decides that Lila is becoming too attached, decides ""recovery"" isn't working for him, and pays another visit to his mother's killer; Debra and Lundy find a clue that points to the ""Bay Harbor Butcher"" being right under their noses."
2,9,15 Dec. 2008,Resistance Is Futile,9.4,"Dexter tries to distance himself from Lila, but discovers she is unwilling to let go of their relationship; Lundy's manhunt makes Dexter nervous as he tries to stay one step ahead - but it's Dexter's worst enemy that learns his secret."
2,10,22 Dec. 2008,There's Something About Harry,9.0,"Dexter's world comes crumbling down when Doakes tracks him to the scene of his latest kill and reveals a devastating secret about Harry; the Miami Metro PD closes in on the ""Bay Harbor Butcher."""
2,11,29 Dec. 2008,Left Turn Ahead,9.0,Dexter dodges bullets both figurative and real as he is forced to decide the fates of those he cares about most; Lila attempts to blackmail Dexter and makes a startling discovery.
2,12,5 Jan. 2009,The British Invasion,9.2,"In the Season Two finale, Lundy and the FBI finally settle the case of the Bay Harbor Butcher, but the heat's not entirely off Dexter as his world literally becomes an inferno. Can he rise from the ashes once again?"
3,1,5 Oct. 2009,Our Father,8.3,"In the Season Three premiere, Dexter's life seems to be smoothly back on track, until he targets a dope dealer who's also in the sights of Assistant D.A. Miguel Prado; Internal Affairs pressures Debra to rat on her new partner."
3,2,12 Oct. 2009,Finding Freebo,8.5,"Dexter catches up with Freebo, but once again the kill goes terribly wrong."
3,3,19 Oct. 2009,The Lion Sleeps Tonight,8.2,Dexter encounters a fellow predator - but this one is a pedophile; a murder is pinned on Freebo but Dexter knows the truth; Dexter struggles with the fact of his growing friendship with Miguel.
3,4,26 Oct. 2009,All in the Family,8.2,Dexter scrambles to convince Rita that his marriage proposal is sincere and romantic; Miguel's vengeful brother Ramon searches desperately for their sibling's murderer.
3,5,2 Nov. 2009,Turning Biminese,8.5,"Dexter hears the story of a husband who has gotten away with murdering two wives for financial gain and tracks the man to Bimini, but Rita has a medical emergency while Dexter has disappeared."
3,6,9 Nov. 2009,Sí Se Puede,8.3,"Dexter tests Miguel to determine if his friend has discovered his secret, while Rita loses her job and wonders if she's meant to ever have a successful career."
3,7,16 Nov. 2009,Easy As Pie,8.6,Dexter begins working with Miguel but they quickly have differences in selecting a potential new victim; Rita discovers that Miguel's wife suspects him of an affair; an old friend of Dexter's asks for help in ending her life.
3,8,23 Nov. 2009,The Damage A Man Can Do,8.7,"Dexter undertakes to teach Miguel the Code, but doesn't realize he's whetting his partner's thirst for blood; Debra is one step closer to finding the Skinner but a secret revealed about Anton sends him packing."
3,9,30 Nov. 2009,About Last Night,8.8,Dexter and Miguel's friendship becomes strained even as Rita revolves to confront Miguel about his suspected infidelity; Debra searches furiously for Anton when it's revealed that he was abducted by the Skinner.
3,10,7 Dec. 2009,Go Your Own Way,9.1,"A series of chess-like moves ensues when Dexter and Miguel vie for the upper hand, with Miguel winning Rita's affection by presenting her with a lavish wedding gift; Debra wonders if her relationship with Anton is worth it."
3,11,14 Dec. 2009,I Had A Dream,8.9,Dexter must find a way to get rid of Miguel despite the fact that his friend is a district attorney (and Dexter's best man); Rita discovers that Miguel has been seeing an old flame; Debra finds a new clue to the Skinner's identity.
3,12,21 Dec. 2009,Do You Take Dexter Morgan?,8.9,"In the Season Three finale, Dexter attempts to calm the unstable Ramon now that Miguel is out of the picture; Debra is about to receive her detective's shield but is blind-sided with information that could derail her promotion."
4,1,18 Oct. 2010,Living The Dream,8.8,"In the Season Four premiere, Dexter sleeplessly struggles to balance his new family life with his dark, murderous drive for a fresh victim, and his busier-than-ever forensic career pursuing a new target, ""The Trinity Killer."""
4,2,18 Oct. 2010,Remains To Be Seen,8.7,"Dexter realizes that he has carelessly misplaced crucial evidence that could expose his dark side to the world, while helping to investigate new slayings that Agent Lundy insists are the work of Trinity."
4,3,25 Oct. 2010,Blinded By The Light,8.3,"Dexter is hampered by his neighborhood's increased vigilance due to vandalism, his temporary inability to drive himself anywhere, and his admiration for the killing technique of the artful Trinity Killer."
4,4,25 Oct. 2010,Dex Takes A Holiday,9.2,"Dexter gets some much-needed R&R time with Rita and the kids out of town, leading to his stalking of a new victim - until he unexpectedly begins to empathize with his target, a cop that murdered her family."
4,5,1 Nov. 2010,Dirty Harry,9.0,"Dexter is inspired to investigate the Trinity Killer on his own, while Debra blames herself for an event that was out of her control, and Rita realizes how little she knows her husband after discovering one of his secrets."
4,6,1 Nov. 2010,If I Had A Hammer,8.8,"Dexter doubles his efforts to stay ahead of the official Trinity investigation, and receives relationship advice about the friction between himself and Rita from a most unexpected source."
4,7,8 Nov. 2010,Slack Tide,8.5,"Dexter finally strikes a balance between family, career and his secret life, but is thwarted in his pursuit of his next victim, while Debra expresses a renewed and unwelcome interest in their father's checkered past."
4,8,8 Nov. 2010,Road Kill,8.6,"Dexter wonders if his father's Code is truly the right path, and hopes to get answers by accompanying Trinity on an out-of-town road trip, while Debra discovers that her single-minded pursuit of Trinity has blinded her to the truth."
4,9,15 Nov. 2010,Hungry Man,9.4,"Dexter learns more about Arthur's bizarre and twisted world, while Rita has her hands full preparing Thanksgiving dinner for a full house, Debra uses the holiday to further investigate Trinity, and Batista gets closure on an old case."
4,10,15 Nov. 2010,Lost Boys,9.2,"The disappearance of a ten-year-old boy forces Dexter to question his assumptions about Trinity, while Cody defends one of Dexter's lies and Masuka is unable to face what he witnessed on Thanksgiving."
4,11,22 Nov. 2010,"Hello, Dexter Morgan",9.5,"Dexter must buy time to protect himself when Debra's investigation brings the department one step away from identifying Arthur as the Trinity Killer; Rita confides in Dexter, but is disappointed in the result."
4,12,22 Nov. 2010,The Getaway,9.8,"Dexter and Arthur find themselves on a collision course, as Debra unearths a shocking long-hidden truth, Rita admits her marriage to Dexter is troubled, and Batista and LaGuerta face the consequences of an ethics breach. Season Finale."
5,1,12 Sep. 2011,My Bad,8.9,"In the Season 5 premiere, Dexter reels from Rita's murder while Quinn stirs up trouble by suggesting that Rita's death doesn't fit Trinity's profile."
5,2,12 Sep. 2011,Hello Bandit,8.3,"Dexter fights his dark urges, but a shocking discovery puts him on the trail of a new victim; Debra hosts her brother and his children but finds herself squeezed out of her own place."
