season,episode,release,title,rating,description
1,1,13 Sep. 1991,Simpsons Roasting on an Open Fire,8.2,"The family is forced to spend all of their savings to get Bart's new tattoo removed, and with no money for Christmas, Homer is forced to become a store Santa."
1,2,20 Sep. 1991,Bart the Genius,7.7,Bart ends up at a school for gifted children after cheating on an IQ test.
1,3,11 Oct. 1991,Homer's Odyssey,7.4,"After losing his job, Homer contemplates ending it all, until he discovers a new life path as a safety advocate."
1,4,13 Sep. 1991,There's No Disgrace Like Home,7.7,"After being embarrassed by the rest of the family at a company picnic, Homer becomes obsessed with improving their behavior towards each other."
1,5,27 Sep. 1991,Bart the General,8.0,"After being beaten up by Nelson Muntz one too many times, Bart turns to Grampa for help, and soon leads a rebellion against the school bully."
1,6,4 Oct. 1991,Moaning Lisa,7.6,"A depressed Lisa's spirit is lifted when she meets a jazz-man, Bleeding Gums Murphy."
1,7,29 Nov. 1991,The Call of the Simpsons,7.8,"Homer takes the family camping, but it soon becomes a misadventure when they lose their equipment and Homer is mistaken for Bigfoot."
1,8,8 Nov. 1991,The Telltale Head,7.7,Bart gets more than he bargained for when he saws the head off a statue of the town's founder.
1,9,18 Oct. 1991,Life on the Fast Lane,7.5,Marge contemplates an affair with a handsome bowling instructor.
1,10,25 Oct. 1991,Homer's Night Out,7.4,"After a photograph of Homer canoodling with an exotic dancer is distributed throughout Springfield, he finds himself kicked out of the house by Marge."
1,11,13 Dec. 1991,The Crepes of Wrath,7.8,"Bart is sent to France on a student exchange program, where he's treated like a slave; An Albanian student takes Bart's place in the family."
1,12,15 Nov. 1991,Krusty Gets Busted,8.4,"Homer witnesses a robbery at the Kwik-E-Mart, where the culprit is a man dressed like Bart's hero, Krusty the Clown. But there's more than meets the eye?"
1,13,22 Nov. 1991,Some Enchanted Evening,7.8,"Homer and Marge enjoy a night on the town, leaving the kids with a diabolical babysitter, with a surprising secret."
2,1,20 Dec. 1991,Bart Gets an F,8.2,"Mrs. Krabappel, fed up with Bart's lackadaisical approach to his studies, gives him an ultimatum: shape up or repeat the fourth grade."
2,2,10 Jan. 1992,Simpson and Delilah,8.2,Homer lies on a medical insurance form in order to obtain a miracle hair restoring drug.
2,3,17 Jan. 1992,Treehouse of Horror,8.3,"The Simpsons move into a cursed house, then are abducted by aliens, before Homer is ensconced in a tale by Edgar Allen Poe."
2,4,24 Jan. 1992,Two Cars in Every Garage and Three Eyes on Every Fish,8.1,"After the power plant experiences bad publicity and is threatened with closure, Mr. Burns decides to run for Governor in order to have power over the law."
2,5,31 Jan. 1992,Dancin' Homer,7.5,Homer's heckling of the Springfield Isotopes baseball team during one of their games inadvertently leads to his appointment as the new team mascot.
2,6,7 Feb. 1992,Dead Putting Society,8.0,"In an attempt to show up Ned Flanders, Homer pits Bart against Ned's son, Todd, in a miniature golf competition."
2,7,14 Feb. 1992,Bart vs. Thanksgiving,7.7,"On Thanksgiving, Bart runs away after fighting with Lisa."
2,8,28 Feb. 1992,Bart the Daredevil,8.4,"After seeing a motorcycle daredevil at a monster truck show, Bart becomes a death-defying daredevil skateboarder."
2,9,8 May 1992,Itchy and Scratchy and Marge,8.1,Marge becomes a crusader against cartoon violence after watching The Itchy and Scratchy Show.
2,10,6 Mar. 1992,Bart Gets Hit by a Car,7.8,"While skateboarding down the street, Bart is hit by a car driven by Mr. Burns. Homer turns down Mr. Burns' token offer of $100, and instead hires ambulance-chaser Lionel Hutz to bring an outrageous lawsuit against the millionaire."
2,11,13 Mar. 1992,"One Fish, Two Fish, Blowfish, Blue Fish",8.8,"After apparently consuming poison blowfish, Homer is told that he only has 24 hours to live."
2,12,20 Mar. 1992,The Way We Was,8.3,Homer and Marge tell the story of how they met and fell in love in high school.
2,13,27 Mar. 1992,Homer vs. Lisa and the 8th Commandment,8.0,"Homer gets a crooked cable guy to install free cable in the Simpson home, and as a result, Lisa faces an ethical crisis over her family's stealing."
2,14,3 Apr. 1992,Principal Charming,7.5,"Homer tries to set Selma up with Principal Skinner, only for him to fall for Patty instead."
2,15,10 Apr. 1992,"Oh Brother, Where Art Thou?",8.3,"After Grampa is hospitalized, he reveals that Homer has a half-brother, and the family set out to find him."
2,16,24 Apr. 1992,Bart's Dog Gets an F,7.5,"After an uncontrollable Santa's Little Helper destroys several important Simpson possessions, Homer announces that he will be thrown out of the house unless he completes obedience training."
2,17,22 May 1992,Old Money,7.6,"After Grampa's new girlfriend dies and leaves him $106,000 in her will, he tries to decide what to do with it."
2,18,29 May 1992,Brush with Greatness,8.0,"After becoming trapped in a water slide, Homer decides to go on a diet, while Marge enrolls in an art class and is soon commissioned to paint a portrait of Mr. Burns."
2,19,12 Jun. 1992,Lisa's Substitute,8.5,Lisa has a crush on her substitute teacher; Bart decides to run for class president.
2,20,31 Dec. 1991,The War of the Simpsons,7.9,"Homer must decide which is more important: completing counseling to save his marriage or skipping out to catch a legendary catfish. Meanwhile, at home, Bart and Lisa take advantage of Grampa's ignorance of the house rules."
2,21,15 May 1992,Three Men and a Comic Book,8.3,"Bart, Milhouse and Martin each pitch in to buy an expensive comic book, which soon has a disastrous effect on their friendship."
2,22,19 Jun. 1992,Blood Feud,7.9,"Bart saves Mr. Burns's life. But Homer becomes enraged when Mr. Burns doesn't return the favor by sending the Simpsons what he considers to be an appropriate ""thank you"" gift."
3,1,5 Jan. 1993,Stark Raving Dad,8.6,Homer accidentally lands in a mental hospital and ends up sharing a room with a white man who thinks he is Michael Jackson.
3,2,12 Jan. 1993,Mr. Lisa Goes to Washington,7.8,"After winning a political essay contest, Lisa is invited to Washington, D.C., but she soon becomes upset after discovering how policy-making really works."
3,3,3 Oct. 1991,When Flanders Failed,8.2,"After wishing for Flanders to lose his business, Homer discovers that his neighbor is actually about to go bankrupt and decides to help him out."
3,4,7 Jan. 1993,Bart the Murderer,8.6,"After having a horrible day, Bart gets a job tending bar for a group of gangsters and becomes the prime suspect when Principal Skinner mysteriously disappears."
3,5,14 Jan. 1993,Homer Defined,8.5,"Homer is a hero after averting a nuclear meltdown that he nearly caused, but he doesn't want to tell anyone that he stopped it completely by accident."
3,6,11 Jan. 1993,"Like Father, Like Clown",7.7,Bart and Lisa try to reunite Krusty the Clown with his father.
3,7,18 Jan. 1993,Treehouse of Horror II,8.3,"The Simpson family receives a severed monkey's paw which can grant wishes, Bart gains magical powers which he uses to turn Homer into a Jack-in-the-box, and Mr. Burns uses Homer's brain to create a robot."
3,8,19 Jan. 1993,Lisa's Pony,7.9,Homer buys Lisa a pony that the family can ill afford.
3,9,20 Jan. 1993,Saturdays of Thunder,7.9,"After Homer fails a fathering test, he decides to help Bart build his Soap Box Derby racer."
3,10,20 Jan. 1993,Flaming Moe's,8.8,"Moe claims a drink that Homer invented is his own, with the drink making the bar a local hot spot, but threatens his friendship with Homer."
3,11,4 Feb. 1993,Burns Verkaufen der Kraftwerk,8.3,"Burns decides to retire and sells the power plant to a German consortium for an exorbitant price. Homer's laziness and inefficiency are quickly exposed by his new bosses, and he is laid off."
3,12,28 Jan. 1993,I Married Marge,8.3,"As Marge goes to the doctor for a pregnancy test, Homer tells the children of the events leading up to his marriage, and Bart's birth."
3,13,1 Feb. 1993,Radio Bart,8.5,"After Bart receives a microphone which can transmit through radios, he decides to pull a series of pranks and eventually convinces the town that a boy has fallen down a well."
3,14,25 Jan. 1993,Lisa the Greek,8.0,Homer uses Lisa (and her prognostic skills) to help him bet on football games.
3,15,3 Feb. 1993,Homer Alone,8.1,"While Marge spends a couple of days at Rancho Relaxo after she has a breakdown, Bart and Lisa stay with Patty and Selma, and Homer stays at home to take care of Maggie."
3,16,26 Jan. 1993,Bart the Lover,8.3,"After Mrs. Krabappel gives Bart a month of detention, he gets his revenge by responding to her newspaper singles ad. Meanwhile, Marge suggests Homer to start a swear jar to stop him cursing."
3,17,2 Feb. 1993,Homer at the Bat,8.7,"Homer and his co-workers qualify for the plant softball team's league final, but Mr. Burns hires nine professional MLB players in order to win a $1 million bet."
3,18,27 Jan. 1993,Separate Vocations,8.2,"The results of a standardized test steer Bart in the direction of law and order at Springfield Elementary School. However, Lisa becomes so depressed by her results that she turns to juvenile delinquency."
3,19,8 Feb. 1993,Dog of Death,7.8,"The Simpsons wind up regretting paying for an expensive surgery for Santa's Little Helper. He then runs away from home, winds up in the animal shelter, and is adopted by Mr. Burns to become an attack dog."
3,20,9 Feb. 1993,Colonel Homer,8.0,"Homer becomes the manager of a beautiful young country singer and finds himself almost attracted to her, sparking Marge's jealousy."
3,21,10 Feb. 1993,Black Widower,8.3,Sideshow Bob gets out of jail and plots to take his revenge on Bart by marrying his Aunt Selma and killing her.
3,22,11 Feb. 1993,The Otto Show,7.8,"After Otto loses his job as school bus driver because he does not have a license, Bart convinces Homer and Marge to let Otto stay with them until he gets back on his feet."
3,23,15 Feb. 1993,Bart's Friend Falls in Love,7.8,"Milhouse falls in love with Samantha, a new transfer student, and Bart becomes jealous of all the time they are spending together. Meanwhile, Homer orders a subliminal weight loss tape, but is given a vocabulary builder by mistake."
3,24,7 Apr. 1994,"Brother, Can You Spare Two Dimes?",8.3,"After Homer ""wins"" a $2000 settlement with the plant for radiation affecting his sperm count, his brother Herb comes to Springfield with an idea that could help him get his fortune back."
4,1,14 Apr. 1994,Kamp Krusty,8.5,"Bart and Lisa attend ""Kamp Krusty"" but it is nothing like they thought it would be; Homer's hair grows back and he loses weight while the kids are away."
4,2,16 Feb. 1993,A Streetcar Named Marge,8.2,"Marge stars in a musical adaptation of A Streetcar Named Desire, but is angry with Homer's lack of interest; Maggie squares off with her strict new daycare owner."
4,3,21 Apr. 1994,Homer the Heretic,9.0,"After skipping church one week, Homer decides that he is never going back. However, when a calamity occurs, it takes the combined efforts of a number of people from different faiths to save him."
4,4,28 Apr. 1994,Lisa the Beauty Queen,7.8,Lisa enters the Little Miss Springfield pageant.
4,5,12 May 1994,Treehouse of Horror III,8.5,An evil Krusty the Clown doll tries to kill Homer; Marge is captured by a giant ape who falls in love with her; Bart inadvertently raises the dead.
4,6,5 May 1994,Itchy & Scratchy: The Movie,8.2,"With Bart continually getting in trouble, Homer bans him from seeing the new Itchy & Scratchy movie."
4,7,19 May 1994,Marge Gets a Job,7.8,"When Marge takes a job at the power plant, Mr. Burns falls in love with her."
4,8,26 May 1994,New Kid on the Block,8.2,"Bart develops a crush on his new neighbor, only to discover that she's dating Jimbo Jones; Homer sues an all-you-can-eat restaurant after he's kicked out."
4,9,9 Jun. 1994,Mr. Plow,8.9,"Homer opens a snow plow business only to have his best friend Barney open a rival outfit, with commercials by Linda Ronstadt. Homer sends Barney into an avalanche, then feels guilty and saves his life."
4,10,16 Jun. 1994,Lisa's First Word,8.7,"While trying to coax Maggie into saying her first word, Homer and Marge talk about how Lisa spoke hers."
4,11,3 Jul. 1994,Homer's Triple Bypass,8.7,"Years of poor eating habits catch up with Homer when he suffers a massive heart attack, but the family can't afford the triple bypass operation he needs."
4,12,10 Jul. 1994,Marge vs. the Monorail,9.1,"After receiving a considerable donation of money, Springfield builds a monorail system with Homer as the conductor, unaware they've just boarded a one-way train to Hell."
4,13,21 Aug. 1994,Selma's Choice,8.0,"Selma starts to feel broody, but after taking Bart and Lisa to Duff Gardens, she changes her mind."
4,14,17 Jul. 1994,Brother from the Same Planet,8.2,"When Bart gets tired of Homer's horrible parenting skills, he enrolled in the ""Bigger Brother"" program where he's assigned a fantastic role model."
4,15,28 Aug. 1994,I Love Lisa,8.4,"Lisa gives Ralph a Valentine's card out of pity and then regrets it when he develops a crush on her. They attend Krusty's 29th anniversary show, and perform together in the Presidents' Day pageant."
4,16,4 Sep. 1994,Duffless,8.4,"After Homer is arrested for DUI, and loses his driver's license, he is put to the ultimate test when Marge pressures him to give up beer for a month."
4,17,31 Dec. 1996,Last Exit to Springfield,9.1,Homer becomes union leader and leads a company strike when Mr. Burns takes away the company dental plan.
4,18,11 Sep. 1994,So It's Come to This: A Simpsons Clip Show,7.1,Bart's April fools prank results in a huge explosion that seriously injures the Simpsons patriarch.
4,19,30 Oct. 1996,The Front,8.1,"Bart and Lisa decide to write their own episodes of the ""Itchy and Scratchy"" show after they begin to grow bored with the current scripts."
4,20,24 Jul. 1994,Whacking Day,8.1,"Marge attempts to home school Bart after he is expelled from Springfield Elementary. Meanwhile, Lisa protests a barbaric local holiday centered around clubbing snakes to death."
4,21,7 Aug. 1994,Marge in Chains,7.7,"A misunderstanding leads to Marge being imprisoned for shoplifting, with her absence soon descending the family, and eventually, the town into chaos."
4,22,31 Jul. 1994,Krusty Gets Kancelled,8.2,"A massive advertising blitz announces the arrival of something named ""Gabbo."" Eventually, Gabbo is revealed to be a Howdy Doody-esque dummy, whose sensational success causes Krusty the Clown's show to be canceled."
5,1,14 Aug. 1994,Homer's Barbershop Quartet,8.5,"After the kids find a record with Homer's picture on it, he recalls the story of how he achieved fame in the 1980s with his barbershop quartet, The Be Sharps."
5,2,2 Oct. 1999,Cape Feare,9.2,"After being released from prison on parole, Sideshow Bob plots to murder Bart."
5,3,1 Apr. 1995,Homer Goes to College,8.6,"When a surprise inspection of the nuclear power plant reveals that Homer is not qualified to do his job, he is forced to go to college."
5,4,2 Apr. 1995,Rosebud,8.9,"After his birthday party goes wrong, Mr. Burns begins to want his childhood toy, a teddy bear named Bobo; Homer finds that Maggie is in possession of the doll."
5,5,8 Apr. 1995,Treehouse of Horror IV,8.8,"Homer sells his soul to the Devil for a donut, Bart contends with a gremlin on the side of the school bus which only he can see, and the family discovers that Mr. Burns is a vampire."
5,6,9 Apr. 1995,Marge on the Lam,8.1,A girls' night out turns into a high speed chase when Marge learns her friend is driving a stolen car.
5,7,15 Apr. 1995,Bart's Inner Child,7.7,"Brad Goodman, a self-help guru, encourages Springfield to act more like Bart, with disastrous results."
5,8,16 Apr. 1995,Boy Scoutz 'n the Hood,8.7,"After joining the Junior Campers while on a sugar high, Bart reluctantly invites Homer to accompany him on the group's annual father-son rafting trip, which soon goes awry."
5,9,22 Apr. 1995,The Last Temptation of Homer,8.5,Homer's marriage is in trouble when he develops an attraction to a new co-worker.
5,10,23 Apr. 1995,"$pringfield (Or, How I Learned to Stop Worrying and Love Legalized Gambling)",8.6,"Mr. Burns builds a casino when Springfield decides to legalize gambling, with Marge becoming addicted to the slot machines."
5,11,29 Apr. 1995,Homer the Vigilante,8.3,An outbreak of burglaries inspires Homer to lead a vigilante group.
5,12,30 Apr. 1995,Bart Gets Famous,8.2,"Bart becomes an overnight sensation as the ""I didn't do it"" boy on Krusty the Clown's show."
5,13,6 May 1995,Homer and Apu,8.3,Apu moves in with the Simpsons after losing his job when Homer gets ill from the contaminated food; James Woods takes over the Kwik-E-Mart.
5,14,13 May 1995,Lisa vs. Malibu Stacy,8.2,Lisa leads a protest against a talking doll which she believes is sexist.
5,15,20 May 1995,Deep Space Homer,8.8,"In an effort to increase the dismal television ratings for their space launches, NASA decides to send an ordinary man into space, and Homer is chosen for the task."
5,16,27 May 1995,Homer Loves Flanders,8.5,"After Flanders invites Homer to a football game, the pair become friends, but Homer's possessiveness and loutish behaviour slowly turns Ned against him."
5,17,3 Jun. 1995,Bart Gets an Elephant,7.9,"After Bart receives an elephant as a prize for calling in to a radio station, the animal proves to be too costly to care for and Homer decides to sell it."
5,18,10 Jun. 1995,Burns' Heir,8.4,"After coming close to death, Mr. Burns decides than it's time to find an heir to his empire, and chooses Bart because of his truly devious nature."
5,19,17 Jun. 1995,Sweet Seymour Skinner's Baadasssss Song,8.4,"Bart accidentally gets Principal Skinner fired on inspection day, with Ned Flanders taking over as his replacement."
5,20,24 Jun. 1995,The Boy Who Knew Too Much,8.3,"Bart witnesses the alleged assault of a waiter by Mayor Quimby's nephew, but coming forward will mean admitting to skipping class, and face the consequences."
5,21,1 Jul. 1995,Lady Bouvier's Lover,7.6,"Grampa falls in love with Marge's mother, but must compete with Mr. Burns for her heart."
5,22,8 Jul. 1995,Secrets of a Successful Marriage,8.1,"Homer begins teaching a class on how to have a successful marriage, but jeopardizes his own marriage by revealing secrets about himself and Marge."
6,1,15 Jul. 1995,Bart of Darkness,8.7,"After he breaks his leg and becomes confined to his room, Bart begins spying on the neighbors with his telescope, and suspects Ned of murdering Maude."
6,2,22 Jul. 1995,Lisa's Rival,8.1,"Lisa is jealous when a new girl in class is smarter than she is. Meanwhile, Homer obtains a massive amount of sugar."
6,3,29 Jul. 1995,Another Simpsons Clip Show,5.9,The family recalls past tales of lost love.
6,4,5 Aug. 1995,Itchy & Scratchy Land,8.6,A family vacation to Itchy & Scratchy Land turns disastrous when the robots malfunction and turn on the tourists.
6,5,12 Aug. 1995,Sideshow Bob Roberts,8.3,"Sideshow Bob is released from prison and runs for Mayor of Springfield. When he wins the election, Bart and Lisa suspect foul play and are determined to expose Bob's corruption."
6,6,27 Dec. 1999,Treehouse of Horror V,9.2,The family's job at Mr. Burns' country estate goes awry when Homer goes mad; Homer's attempt to repair a toaster results in inadvertent time travel; The school staff turn cannibalistic.
6,7,19 Aug. 1995,Bart's Girlfriend,8.1,Bart falls for Reverend Lovejoy's daughter and is surprised when she becomes a bad influence on him.
