season,episode,release,title,rating,description
1,1,1 Sep. 2008,Entourage,7.7,"Vincent Chase is a young, hot, up-and-coming actor living in Hollywood. Tonight, he must attend the opening of his latest movie ""Head On,"" but first he and his three best friends from back home (Queens, NY) have lunch and discuss their upcoming 10-year high school reunion. Vince is reluctant to go but his buddies urge him to go with them. At the post-premiere party, Vince's agent, Ari, hassles Eric about getting Vince to read the script for a possible new project. Over breakfast, Vince says he's not going to do ""Matterhorn"" on Eric's advice. The foursome goes to meet ..."
1,2,1 Sep. 2008,The Review,7.7,"While Drama practices for his acting class over breakfast, Turtle enters with some bad news: an important trade magazine has given Vince's performance a negative review (including calling him a ""fly-by-night pretty boy""). While paying Ari an office visit to discuss it, Eric meets Ari's new assistant, Emily. Following Ari's advice to show Vince a good time to get his mind off the review, Eric okays Vince's poor decision to lease a new Rolls Royce. Jessica Alba bumps into the boys during their luncheon and invites them to her party for Justine Chapin, her virginal ..."
1,3,9 Sep. 2008,Talk Show,8.2,"The boys attend a boxing match at the Staples Center where they bump into various celebrities. While Turtle and Drama talk up Luke Wilson about his new home theater system, Jimmy Kimmel invites Vince to come on his show to promote ""Head On."" In the morning, the foursome discuss their past relationships with women, and the consensus (all but Eric) seems to be that it's better to leave a girl dangling than break up with her. Drama also fills Vince in on his old grudge against Jimmy Kimmel. Later on, Eric tries his best to do a pre-interview for Vince's appearance while ..."
1,4,9 Sep. 2008,Date Night,7.9,"Ari wakes Eric with a phone call to remind him that tonight is the all-important opening night for Vince's movie. Immediately after Eric hangs up, Emily unexpectedly drops off fan mail, but with ulterior motives. Drama introduces the guys to his latest lady friend back at the house and then they discuss their plans for the evening over breakfast at a diner. Vince's major work for the day is a stop at Big Boy's Neighborhood, a local radio show. As a result of the appearance, Vince secures a date for himself with Justine Chapin. While everybody gets ready for the ..."
1,5,16 Sep. 2008,The Script and the Sherpa,8.2,"The boys are less than pleased that Vince's latest fling, Fiona, has overstayed the 3-day rule that Vince instated long ago. At the gym, her new age approach to exercise bothers Drama. Her vegan lifestyle seems to be bothering everybody in the house. Eric is re-introduced to an old acquaintance who may have just the script that Vince has been looking for: a story about a guy from Queens. Turtle tries to find a way around a weed drought in LA. Over lunch with Ari, Eric learns that the producer of ""Queens Boulevard"" doesn't like Vince. Fiona overhears Turtle's dilemma ..."
1,6,16 Sep. 2008,Busey and the Beach,8.2,"The boys begin their day at Ari's office. They pair off: Drama prepares to meet his potential new agent and drags Turtle with him while Eric and Vince attend a special meeting. The ""meeting"" is basically an ego-booster for Vince where a roomful of agents try to entice him with potential projects. Drama discovers that his situation is an entirely different story when he finds his new agent answering his own phone in a cubicle. When he explains that it's going to be hard to find new jobs, an angered Drama storms out with some, ummm, dramatic parting words. Later, the ..."
1,7,23 Sep. 2008,The Scene,8.2,"Things appear to be back to normal. While the boys wait at a coffee shop for a meeting with Ari, they all give Eric a hard time about leaving Emily a drunken message the night before. Drama is in good spirits because he has some money to burn after getting residuals from his brief stint on ""Pacific Blue"". Ari has arranged a ""meet & greet"" with the director of ""Queens Boulevard"", so the group heads to the infamous Chateau Marmont. The outcome of the meeting is hazy: Vince likes Billy, but Eric is getting a bad feeling, and they walk away with a script that he has made ..."
1,8,23 Sep. 2008,New York,8.4,"Now Vince is about to return to New York for months to shoot, Turtle decides to make some money for a change- by charging entry for Vince's go away-party. Drama finds Adam Davies is a great agent, as he gets him a well-paid audition for a promising pilot, CSI Minneapolis to be shot in Vancouver starring Don Johnson whom Johnny already knows, interesting despite clashing with the timing for Queens Bouelevard and his temper flares up again. Meanwhile E insists he wants his work as Vince's manager recognized, with a formal contract, and plays it hard despite skepticism ..."
2,1,30 Sep. 2008,The Boys Are Back in Town,8.2,"With filming on Queens Boulevard completed, Vince, Eric, Turtle and Drama arrive back in LA, ready to pick up where they left off. Eric tries to fulfill his new duties as Vince's manager, while also trying to control the frustrations caused by his relationship with Kristen. He also has to deal with Ari, who lets him know that offers to Vince have started to dry up, and that Vince should take the starring role in ""Aquaman."" Turtle steps up into his new role as the house manager and Drama finds an unconventional way to get a new set of headshots."
2,2,30 Sep. 2008,My Maserati Does 185,8.7,"When Beverly Hills Maserati offers Vince a free Maserati, he passes it on as a thank you to Eric 'E', his devoted personal manager. who is dragged to a wild party and ends up in bed with a girl he just met there. Agent Ari keeps insisting Vince should do Aquaman, to the point of reading the script aloud while they're in the sauna till they promise to go trough it end then decide. and feels very guilty but is advised not to tell his girlfriend Kristen, only to hear she was unfaithful too and breaks up."
