season,episode,release,title,rating,description
1,1,16 Sep. 2006,Everybody Hates the Pilot,7.7,"Chris and his family move to Bed-Stuy and Chris attends a predominantly white middle school where he meets his new friend, Greg and ends up in the crosshairs of the school bully, Joey Caruso."
1,2,23 Sep. 2006,Everybody Hates Keisha,7.5,"Chris has a crush on Keisha, the girl next door and when Rochelle asks Keisha to help Drew with his math, Chris makes his move to impress her, but is heartbroken when he catches Drew kissing Keisha. Julius finds himself in an uncomfortable position when he suddenly becomes attracted to Keisha's mom, Sheila. Also, when the school principal orders Caruso to stay away from Chris, Greg sticks close to him."
1,3,7 Oct. 2006,Everybody Hates Basketball,7.6,"The school basketball coach recruits Chris for the basketball team, but there's one problem: he doesn't know how to play. But a bad grade on a pop quiz could kick him off the team. Meanwhile, Rochelle has her suspicions about a new tenant in their building."
1,4,30 Sep. 2006,Everybody Hates Sausage,7.8,"When Julius buys a big crate of sausage, he makes everyone eat it with every meal. But Tonya refuses to, causing friction between the her and Rochelle. While at school, Chris is sentenced to 3 days of detention after a rumor goes round about him beating up the school bully, Joey."
1,5,14 Oct. 2006,Everybody Hates Fat Mike,7.6,"Despite his parents' warnings, Chris lends his bike to a kid who disappears with it; While Julius is on strike, he proves to be a better housekeeper than Rochelle which makes her very angry."
1,6,28 Oct. 2006,Everybody Hates Halloween,7.8,In order to impress a girl Chris goes to an adult party where the girl will be. With some urging from his friend he decides to go as the eccentric singer Prince.
1,7,21 Oct. 2006,Everybody Hates the Babysitter,7.8,"When Rochelle and Julius go out for the night, they hire a sitter to look after Chris, Drew, and Tonya. But the babysitter keeps leaving the house and Chris covers for her. Julius and Rochelle's night-out is anything but romantic when the restaurant gets robbed."
1,8,4 Nov. 2006,Everybody Hates the Laundromat,7.3,Chris spends all day at the laundromat while watching his younger brother and sister. His parents try to get a good deal on a new TV.
1,9,11 Nov. 2006,Everybody Hates Food Stamps,7.8,Julius finds $200 worth of food stamps but Rochelle is too embarrassed to use them; Chris and Greg have a big argument over their science project.
1,10,18 Nov. 2006,Everybody Hates Greg,7.7,"Toyna keeps getting Chris into trouble and Chris is sick of it, so he decides to hang out at Greg's house without permission from either of their parents. When Greg's father comes home and Chris finds out Greg isn't allowed to have anyone over when his dad's not home, Chris hides in the closet to avoid getting into trouble."
1,11,23 Dec. 2006,Everybody Hates Christmas,8.0,"Rochelle and Julius don't have enough money to get Chris his new Walkman that he wants for Christmas. Drew tells Toyna the truth about Santa Claus, which makes Tonya question about other things her mom and dad told her."
1,12,25 Nov. 2006,Everybody Hates a Part Time Job,7.8,"In order to get a new leather jacket, Chris goes to work with Julius. When Drew and Tonya's school is shut down because of lead paint poisoning, the two play a game of ""I Dare You"" which gets out of hand when Toyna ends up in the emergency room."
1,13,2 Dec. 2006,Everybody Hates Picture Day,7.6,"Chris gets a new outfit for school picture day, but Caruso ends up stealing it. Drew hides Toyna's shoe when she breaks his toy. Rochelle sells make-up at home to make some extra money."
1,14,9 Dec. 2006,Everybody Hates Valentine's Day,7.5,"Chris gets a bunch of ""I hate you"" cards from Caruso and also develops a crush on a girl named Tangee on his bus ride. Tonya reveals that she has a boyfriend which surprises Julius, and Drew gets a bunch of Valentines' cards from a lot of girls."
1,15,16 Dec. 2006,Everybody Hates the Lottery,8.0,"Julius and Rochelle struggle to give up the things they like: chocolate turtles and lottery tickets. Meanwhile, Chris claims to be a pro at ""Asteroids"", but when he hears that someone beat his score, it's up to him to defend his title."
1,16,30 Dec. 2006,Everybody Hates the Gout,7.6,"Chris gets an ""F"" on his report card and tries to figure out a way to change his grade before his parents find out. When Julius is sick with the gout, he starts watching The Young and the Restless."
1,17,6 Jan. 2007,Everybody Hates Funerals,7.5,"When Rochelle's dad, Gene unexpectedly dies during a family dinner, Rochelle starts acting less than normal and Chris is shocked to see his mother not acting like herself."
1,18,13 Jan. 2007,Everybody Hates Corleone,7.3,"Sick of the constant bullying from Caruso, Chris attempts to get kicked out of Corleone. Meanwhile, Julius' smelly new job may drive the family away."
1,19,20 Jan. 2007,Everybody Hates Drew,7.7,"Fed up with Drew being the best at everything, Chris decides to take up karate. But when the two brothers challenge each other, Chris ends up breaking Drew's hand. Meanwhile, Toyna gets a lesson in gossip at the beauty salon."
1,20,27 Jan. 2007,Everybody Hates Playboy,7.6,"Chris finds a Playboy magazine in Julius' toolbox and takes it to school, but the assistant principal confiscates it, Chris attempts to get it back. Julius is surprised when he finds out that Rochelle has money stashed in their room. Toyna teases Drew because of his fear of spiders."
1,21,3 Feb. 2007,Everybody Hates Jail,7.7,Chris has to sell cookies in order to go on a field trip to Washington D.C. Meanwhile Julius and Rochelle had tickets for Dreamgirls but Drew and Tonya get sick.
1,22,10 Feb. 2007,Everybody Hates Father's Day,8.2,"Chris tries to find a gift for Julius for Father's Day, but all Julius wants is a day to himself."
2,1,1 Oct. 2006,Everybody Hates Rejection,7.6,"Chris asks a girl on a date, but gets stood up; Rochelle clashes with new neighbor Louise over the establishment of a neighborhood watch program."
2,2,8 Oct. 2006,Everybody Hates the Class President,7.6,"Chris runs for 8th grade class president, and Julius is diagnosed with high blood pressure."
2,3,16 Oct. 2006,Everybody Hates Elections,7.9,Chris has to prepare a speech as part of his campaign for class president; Mr. Omar the funeral director moves into the rental apartment but winds up increasing Julius's stress.
2,4,23 Oct. 2006,Everybody Hates a Liar,7.5,Chris leads the neighborhood into thinking that he and Tasha are a couple. Drew feels left out when Rochelle doesn't have enough time for him. Julius is obsessed with trading stamps.
2,5,30 Oct. 2006,Everybody Hates Malvo,7.7,"When Chris is robbed at work by the neighborhood's well-known criminal Malvo, he is scared to tell Doc who robbed the place. Julius gets a Betamax and is upset when Tonya accidentally tapes over Julius' stories."
2,6,6 Nov. 2006,Everybody Hates the Buddy System,7.3,"The new vice-principal pairs Chris and Caruso up as buddies on a school field trip, but Chris and Caruso end up being left behind. Toyna takes Rochelle's hoop earrings and then loses one of them. Julius searches for a Wayne Gretzky hockey jersey for Drew."
2,7,13 Nov. 2006,Everybody Hates Promises,7.4,"Chris finds out that he can't fulfill his campaign promises as class president, causing him to become increasingly unpopular at school; Rochelle's brother comes to stay with the family temporarily but shows little interest in finding a job or moving out."
2,8,20 Nov. 2006,Everybody Hates Thanksgiving,7.6,Julius' successful younger brother joins Chris' family for Thanksgiving dinner and Julius works hard to prepare the perfect Thanksgiving meal.
2,9,27 Nov. 2006,Everybody Hates Superstition,7.9,Chris's luck changes after he borrows a pair of socks from his father; Drew and Tonya conspire to get their parents to buy them things.
2,10,11 Dec. 2006,Everybody Hates Kris,7.6,"Julius works at a department store dressed up as Santa Claus along with Chris dressed up as an elf, but Julius gets fired for freaking the kids out and Chris ends up in the hospital."
2,11,22 Jan. 2007,Everybody Hates Eggs,7.5,"For a class project, Chris has to take care of an egg as if it were a baby; Julius looks for ways to save money on the electric bill."
2,12,29 Jan. 2007,Everybody Hates Hall Monitors,7.6,"Chris signs up to be a hall monitor in order to gain some respect. But when the students don't take him seriously, Greg gives Chris some advice to step up his game, but his newfound power goes to his head which nearly threatens his friendship with Greg. When Toyna invites her girlfriends over, they're more interested in hanging out with Drew than with her. Julius struggles to get some sleep, but Rochelle keeps complaining to him about her job."
2,13,5 Feb. 2007,Everybody Hates Snow Day,7.7,"On a snowy day, Chris arrives at school only to find that classes have been canceled and he is expected to spend the day with Principal Edwards, the only other person there."
2,14,12 Feb. 2007,Everybody Hates the Substitute,7.8,"A black substitute teacher takes over Chris' class while Ms. Morello is away, but the teacher ends up giving Chris a hard time, prompting Chris to figure out a way to get rid of him. Toyna discovers that she can her own way by accusing Drew of hitting her, and Mr. Omar gets on Julius' last nerve."
2,15,19 Feb. 2007,Everybody Hates Cutting School,7.9,"Chris and Greg cut school to see ""Ghostbusters"", but they run into Ms. Morello at the movies. Julius spends an agonizing day at the DMV trying to get his license renewed. Rochelle volunteers at a book fair at Drew and Toyna's school with disastrous results."
2,16,26 Feb. 2007,Everybody Hates Chain Snatching,7.9,"When Chris stops Malvo trying to steal a gold chain from Vanessa, Malvo demands that Chris get him a gold chain. Tonya tries to win tickets to a Billy Ocean concert. Rochelle discovers that Julius has been hiding a credit card from her."
