season,episode,release,title,rating,description
1,1,13 Sep. 2008,Pilot,8.5,"It's the year 2030 and an older Ted Mosby is telling the story to his son and daughter about how he met and will eventually marry their mother. This is where we meet for the first time Ted, Lily, Marshall, Barney and Robin."
1,2,13 Sep. 2008,Purple Giraffe,8.2,"Ted throws a party in hopes of seeing Robin again, but when she doesn't show up, he throws another... and another."
1,3,20 Sep. 2008,The Sweet Taste of Liberty,8.2,"Barney's plan to meet girls at the airport backfires as he and Ted are picked up by airport security. Meanwhile, Lily gets jealous of Robin."
1,4,20 Sep. 2008,Return of the Shirt,8.0,Ted reconnects with an old flame and soon remembers why he dumped her in the first place. Barney pays Robin to say outrageous things on the air.
1,5,27 Sep. 2008,Okay Awesome,8.3,"Robin, Ted, and Barney go to a hot new club, leaving the engaged Marshall and Lily to a more adult, albeit boring, evening of wine tasting."
1,6,27 Sep. 2008,The Slutty Pumpkin,8.1,"Marshall and Lily enter a Halloween costume party and Robin brings her new boyfriend. Ted and Barney go to the same Halloween party they go to every year where Ted looks for his lost love, the Slutty Pumpkin."
1,7,4 Oct. 2008,Matchmaker,7.7,"When Ted signs up with a matchmaking service, he learns that love is not a science. Marshall and Lily confront a creature living in their apartment."
1,8,4 Oct. 2008,The Duel,8.2,"Lily moves in with Marshall and Ted, and when Ted suspects that he's being edged out of the apartment, he and Marshall decide to settle it like men."
1,9,11 Oct. 2008,Belly Full of Turkey,8.1,"Thanksgiving with Marshall's family is stressful when Lily thinks she might be pregnant. Robin, Barney, and Ted spend the holiday volunteering."
1,10,11 Oct. 2008,The Pineapple Incident,9.2,"After an alcohol-induced blackout, Ted awakens to find a strange woman and a pineapple in his bed."
1,11,18 Oct. 2008,The Limo,8.3,"It's New Year's Eve 2005 and Ted spends a large portion of his Christmas bonus for a limo for him and the gang. In addition, he has outlined a plan for how they will ring in the New Year. Unfortunately, things don't always go as planned."
1,12,18 Oct. 2008,The Wedding,8.1,"Ted's romantic hopes are dashed when he invites Robin to a fancy wedding, only to discover that the bride-to-be won't allow him to bring a date."
1,13,25 Oct. 2008,"Drumroll, Please",8.7,"Robin is emotionally torn when Ted meets an exciting new woman, Victoria, at the wedding. Afterward, though, he doesn't know how to contact her."
1,14,25 Oct. 2008,"Zip, Zip, Zip",8.2,"Hiding in the bathroom, Marshall and Lily wait for Ted and Victoria to consummate their relationship, and Barney gets the wrong idea from Robin."
1,15,8 Nov. 2008,Game Night,9.1,Marshall's game night leads to some startling and very embarrassing revelations.
1,16,8 Nov. 2008,Cupcake,7.9,"Just as Ted and Victoria's relationship is beginning to flourish, she's offered a scholarship to a culinary institute in Germany."
1,17,15 Nov. 2008,Life Among the Gorillas,7.7,"With Victoria in Germany, Ted faces the pitfalls of long-distance relationships. Marshall has trouble fitting in at Barney's company."
1,18,15 Nov. 2008,Nothing Good Happens After 2 AM,8.5,"With Victoria on his mind, Ted has conflicted feelings when Robin invites him over for a late-night rendevouz."
1,19,22 Nov. 2008,Mary the Paralegal,8.8,"Ted needs a date to take to Robin's awards banquet, so Barney hooks him up with Mary, who may be a call girl."
1,20,22 Nov. 2008,Best Prom Ever,7.9,"With her wedding day fast approaching, Lily, along with Barney and Robin, crashes a high school prom to scope out a potential band for the reception."
1,21,29 Nov. 2008,Milk,8.1,"Ted is excited when a matchmaking service claims to have found his soul mate, but he postpones his date to help Lily, who has a surprising revelation."
1,22,29 Nov. 2008,Come On,8.9,Ted makes a final attempt to win Robin's heart. Marshall and Lily's relationship is in jeopardy.
2,1,6 Dec. 2008,Where Were We?,8.2,Marshall becomes predictably depressed and pathetic after the breakup. And it only gets worse when he discovers that Lily may be back in town.
2,2,6 Dec. 2008,The Scorpion and the Toad,8.2,"Barney gets Marshall back out on the singles market, but Barney keeps taking all the prospects from him. And Ted's convinced that Lily is back because she wants Marshall back, even though she says she's never been better."
2,3,13 Dec. 2008,Brunch,8.5,"Ted discovers that his parents are keeping a secret from him after his dad acts as Barney's wingman, and Marshall and Lily intentionally try to get each other sexually aroused."
2,4,13 Dec. 2008,"Ted Mosby, Architect",8.8,Barney tells Ted that single women like architects. But will Ted use this useful tidbit of information to cheat on Robin after they have their first fight?
2,5,20 Dec. 2008,World's Greatest Couple,8.8,"Lily gets introduced to Barney's bachelor pad when she needs a place to stay, and Marshall finds a unlikely new friend to join him for brunch, concerts and musicals."
2,6,20 Dec. 2008,Aldrin Justice,8.1,"Ted gets Lily a job at his firm, but she only makes trouble for Ted when he refuses to stand up to his boss. And Barney sleeps with Marshall's law school professor to help his grades, but she's less than impressed with his prowess."
2,7,27 Dec. 2008,Swarley,9.0,"The guys tell Marshall to stay away from his new date because she has ""crazy eyes,"" but she couldn't be any crazier than Lily after she learns that Marshall's going out on his first new date."
2,8,27 Dec. 2008,Atlantic City,8.0,"Marshall and Lily elope to Atlantic City, but they discover that getting married in Atlantic City isn't as easy as getting married in Las Vegas."
2,9,3 Jan. 2009,Slap Bet,9.5,"The gang discovers that Robin's been hiding a huge secret, but they have no idea what it is. Marshall thinks she is married, and Barney thinks she was a porn star."
2,10,3 Jan. 2009,Single Stamina,8.2,"Barney's gay black brother is in town, but he doesn't want to tell Barney that he's getting married because he'll be losing his only single sidekick."
2,11,10 Jan. 2009,How Lily Stole Christmas,8.1,"Lily takes away her Christmas display after she finds out that Ted called her a bad name while she was broken up with Marshall, and Barney is too sick for his Christmas plans."
2,12,10 Jan. 2009,First Time in New York,8.2,"Robin tries to keep her younger sister from losing her virginity while on vacation in New York, which causes everyone to reminisce about their first times."
2,13,17 Jan. 2009,Columns,8.0,"Barney asks Lily to paint a nude picture of him after finding her painting of Marshall. And Ted can't find an opportune time to fire his old boss, who now works for him but still keeps undermining his work."
2,14,17 Jan. 2009,Monday Night Football,8.4,"Everybody misses the Super Bowl because of a funeral. Therefore, they all try to go 24 hours without finding out who won so that they can watch the game together on Monday night."
