season,episode,release,title,rating,description
1,1,6 Nov. 2015,Plan B,7.6,A condom mishap and a kid's birthday party prompt Dev to consider the reality of having children.
1,2,6 Nov. 2015,Parents,8.2,Dev and Brian try to show their appreciation for their immigrant parents at a joint family dinner.
1,3,6 Nov. 2015,Hot Ticket,8.1,Dev's plan to score a date with a pretty waitress by inviting her to a concert doesn't have quite the result he wanted.
1,4,6 Nov. 2015,Indians on TV,8.4,"Frustrated with the limited availability of roles and frequent type-casting of Indian actors, Dev has to make an ethical decision about the future of his career when he gets his hands on a TV executives racist emails."
1,5,6 Nov. 2015,The Other Man,8.2,"Dev has the chance to hook up with a woman he meets at a party, but the opportunity comes with a few complications."
1,6,6 Nov. 2015,Nashville,8.7,"Rachel has finally broken up with her ex-boyfriend, so Dev decides to invite her to a trip to Nashville."
1,7,6 Nov. 2015,Ladies and Gentlemen,8.1,Dev's new advertisement doesn't go as planned and his female entourage tells him about the misogyny they face every day.
1,8,6 Nov. 2015,Old People,8.5,"Dev and Arnold hang-out with Arnold's Grandpa, who tells them a cool war story (and Arnold becomes very attached to his Grandpa's robotic seal). This inspires Dev to stick around when he and Rachel visit Grandma Carol at her retirement home and Rachel has to leave mid-visit."
1,9,6 Nov. 2015,Mornings,8.9,Rachel moves in with Dev and they start having relationship issues.
1,10,6 Nov. 2015,Finale,8.8,"After attending a wedding and a disappointing film premiere, Rachel and Dev are both having doubts about their relationship."
2,1,12 May 2017,The Thief,8.8,"Now living in Modena, Dev serendipitously meets a girl who he makes a real connection with only to have his future date plans go array when a thief steals his mobile phone."
2,2,12 May 2017,Le Nozze,8.2,Arnold stops by on his way to a wedding to explore Modena with his Little Bud. But he hasn't told Dev the whole truth about his trip.
2,3,12 May 2017,Religion,8.3,"Back in New York, a visit from observant Muslim relatives puts Dev in a tricky position. He introduces his cousin to a forbidden pleasure: pork."
2,4,12 May 2017,First Date,8.8,"Sucked into a popular dating app, Dev winds up on a string of awkward, fun and disorienting dates with very different women."
2,5,12 May 2017,The Dinner Party,8.6,"After welcoming the Jabbawockeez to his show, Dev struggles to find the right date to take to a dinner party thrown by his celebrity chef boss."
2,6,12 May 2017,"New York, I Love You",9.3,"As Dev and friends head to a theater to see the hit movie ""Death Castle,"" the lives of several ordinary New Yorkers intersect in subtle ways."
2,7,12 May 2017,Door #3,7.9,A sweet job offer forces Dev to take stock of his priorities. Brian helps his dad with a romantic dilemma. A cupcake competition judge gets cold feet.
2,8,12 May 2017,Thanksgiving,9.4,"Over a series of Thanksgivings from the '90s to the present, Denise settles into her sexuality and faces the challenge of coming out to her family."
2,9,12 May 2017,Amarsi Un Pò,9.5,"When Francesca returns to New York for a month, Dev plays tour guide and finds himself caught in a whirlwind of confusing emotions."
2,10,12 May 2017,Buona Notte,9.0,"Just as Dev's personal life reaches a tipping point, disturbing revelations throw his professional life into turmoil, too."
