season,episode,release,title,rating,description
1,1,28 Aug. 2015,Descenso,8.9,Chilean drug chemist Cockroach brings his product to Colombian smuggler Pablo Escobar. DEA agent Steve Murphy joins the war on drugs in Bogota.
1,2,28 Aug. 2015,The Sword of Simón Bolivar,8.5,"Communist radical group M-19 makes a move against the narcos, while Murphy gets an education in Colombian law enforcement from his new partner Peña."
1,3,28 Aug. 2015,The Men of Always,8.5,Murphy encounters the depths of government corruption when he and Peña try to derail Escobar's political ambitions by proving he's a narco.
1,4,28 Aug. 2015,The Palace in Flames,8.7,"Despite a new extradition treaty, the U.S. puts more money into fighting communism, creating new challenges for Murphy and Peña in the hunt for Pablo."
1,5,28 Aug. 2015,There Will Be a Future,8.4,Pablo's extreme methods put the narcos on the brink of war with Carillo and the government. Peña tries to protect his witness.
1,6,28 Aug. 2015,Explosivos,9.1,Peña and Carillo close in on Gacha. Murphy tries to protect pro-extradition candidate Gaviria from a notorious assassin connected to Pablo.
1,7,28 Aug. 2015,You Will Cry Tears of Blood,8.6,"Pablo goes into hiding as the political tide turns against him, but he finds a way to strike back. Murphy and Peña finally get the CIA to help them."
1,8,28 Aug. 2015,La Gran Mentira,9.0,A tragic mistake forces the government to change tactics in the fight against Pablo. But Pablo faces bigger threats from inside his empire.
1,9,28 Aug. 2015,La Catedral,8.7,"The hunt for Pablo seems to be over after he makes a deal with the government, but Murphy and Peña - and the Cali Cartel - have other plans."
1,10,28 Aug. 2015,Despegue,8.9,Pablo's activities in prison provoke the government into taking extreme action. Murphy and Peña face a situation of their own.
2,1,2 Sep. 2016,Free at Last,8.5,"In the aftermath of a massive military effort to take Pablo into custody, the family reunites while enemies worry. Steve and Connie fight about safety."
2,2,2 Sep. 2016,Cambalache,8.6,Tata gets impatient with life on the run. Pablo responds to President Gaviria's reward offer. Steve and Javier meet their new boss.
2,3,2 Sep. 2016,Our Man in Madrid,8.7,"President Gaviria has a new job for an old colleague. The Search Bloc's new tactics shake up Pablo, but also unsettle Steve and Javier."
2,4,2 Sep. 2016,"The Good, the Bad, and the Dead",9.4,The Cali cartel discusses moving in on Pablo's territory. Limón proposes a plan to Maritza. Tata gets a gun for protection.
2,5,2 Sep. 2016,The Enemies of My Enemy,8.6,The Search Bloc gets a new leader. Javier loses faith in the system. Pablo brings Tata's brother Carlos down from Miami to cheer her up.
2,6,2 Sep. 2016,Los Pepes,9.2,The newly-formed Los Pepes want to destroy Pablo and his empire. Tata's brother urges her to leave and seek safety with her children.
2,7,2 Sep. 2016,Deutschland 93,8.7,"As the danger intensifies for the Escobars, Pablo sends his family to another country. Gaviria weighs the opportunity to use them as leverage."
2,8,2 Sep. 2016,Exit El Patrón,8.8,Colombia begins to turn on Escobar after his latest terrorist attack. Tata receives help from an unlikely ally. Quica gets increasingly anxious.
2,9,2 Sep. 2016,Nuestra Finca,8.6,Pablo is reunited with an estranged family member. Judy Moncada's life is put in danger. The DEA and CIA clash over how to handle Los Pepes.
2,10,2 Sep. 2016,Al Fin Cayó!,9.5,Javier deals with the repercussions from Judy's interview. Tata tries to convince Pablo to surrender for the sake of his children.
3,1,1 Sep. 2017,The Kingpin Strategy,8.0,The Gentlemen of Cali gather their associates together for a big surprise announcement about the future of their business.
3,2,1 Sep. 2017,The Cali KGB,8.1,A gas incident threatens to destroy the agreement between Cali and the government and requires Jorge's help. Peña has problems with his old contact in Los Pepes.
3,3,1 Sep. 2017,Follow the Money,8.1,The Rodríguez brothers are hiding during the negotiations. Pacho meets the Lord of the Heavens in Mexico. Peña's new DEA team visits Cali.
3,4,1 Sep. 2017,Checkmate,9.0,Peña hatches a plan to try to capture Cali leader Gilberto Rodriguez. Amado proposes a business idea to Pacho.
3,5,1 Sep. 2017,MRO,8.5,"Paranoid about leaks, Miguel cracks down on his security. Pacho makes a decision about his new offer. Peña works on cultivating a witness."
3,6,1 Sep. 2017,Best Laid Plans,8.9,Jorge takes a dangerous risk. An accident in New York threatens to expose Chepe. Peña travels to Curacao to arrest a potential witness.
3,7,1 Sep. 2017,Sin Salida,9.0,Peña plans another secret operation to topple a member of the Cali cartel but may run out of time while looking for him.
3,8,1 Sep. 2017,Convivir,8.8,David seeks revenge on behalf of his father and puts Enrique in danger. Peña asks Don Berna for help on a rescue mission.
3,9,1 Sep. 2017,Todos Los Hombres del Presidente,9.4,David follows his suspicions. Peña is shocked to discover the depth of corruption in the Colombian government. Miguel is sought after once again.
3,10,1 Sep. 2017,Going Back to Cali,9.2,David and Peña are in a race against each other to find Pallomari. Peña makes a serious decision about the future of his career.
