season,episode,release,title,rating,description
1,1,15 Jan. 2006,The Stolen Eagle,8.1,"In Gaul in 52 B.C., two Roman soldiers, Legionary Titus Pullo and Centurion Lucius Vorenus, are tasked with recovering Julius Caesar's personal Eagle, stolen from his camp in the dead of night. With his campaign in Gaul coming to a successful conclusion, Caesar's popularity is continuing to grow. He's saddened however when he receives news from his good friend Pompey Magnus that his daughter, Pompey's wife, has died in childbirth. In the Senate, Pompey must defend the prolonged absence of his friend and co-Consul Caesar against charges of corruption and of waging an ..."
1,2,22 Jan. 2006,How Titus Pullo Brought Down the Republic,8.3,"Caesar winters his army in Gaul near the Italian border while his enemies in Rome fear that he will do something no Roman General has done: cross the Rubicon with his army. To counter-balance his opponents, Caesar puts his friend Mark Antony up for office as the people's Consul. Vorenus and Pullo accompany Mark Antony and Octavian to Rome. For Pullo, it's an opportunity to get drunk and ravish every woman in sight. He also loses all of his money in a crooked dice game leading to a major brawl. For Vorenus, he will have a reunion with his wife Niobe who he has not seen..."
1,3,29 Jan. 2006,An Owl in a Thornbush,8.1,"With Caesar quickly advancing toward Rome, Pompey begins ordering a retreat and forces his citizens to pick sides. Timon does Atia's dirty work and Vorenus cannot understand why no one is resisting while on a scouting mission."
1,4,5 Feb. 2006,Stealing from Saturn,8.1,"Atia and her family have stayed behind when Pompey and others fled and she now throws a party for her triumphant uncle, Julius Caesar. She clearly has her sights set on the great leader and is puzzled when he sends her a guest list that includes Servilia of the Junii. She soon finds out why. Pompey wants to find out what happened to the gold from the Roman Treasury and sends his son Quintus to Rome to find out what happened. They go directly to Vorenus' home but he has no idea what they are talking about. Pullo arrives however and Vorenus tells him to go directly to ..."
1,5,12 Feb. 2006,The Ram Has Touched the Wall,8.3,Caesar contemplates Pompey's counteroffer. Vorenus continues to struggle as a businessman and must reevaluate his career choice. Atia schemes to come between Caesar and Servilia and Pullo seeks Octavian's help.
1,6,19 Feb. 2006,Egeria,8.2,"Caesar pursued Pompey to Greece but the tide has turned and it's Caesar who is on the run. He contacts Mark Antony, who he left in charge in Rome, to come and join him with the 13th Legion but Antony seems to be in no hurry. Vorenus has re-enlisted in Antony's Legion and he and Niobe have begun to renew their marital relationship. The presence of Niobe's sister is the only sour note in their house. Pullo meanwhile continues to train young Octavian in the use of arms and the boy's mother Atia is so pleased with his development that she decides he should take another ..."
1,7,26 Feb. 2006,Pharsalus,8.5,"As they try to reach Caesar in Greece, the shipwrecked Vorenus and Pullo confront an unexpected dilemma. Back in Rome, Atia again sends Octavia to beg protection from Servilia, who complies readily to encourage her growing friendship with Octavia. As they prepare their counterattack against Caesar, Pompey's Republicans begin to squabble over both the anticipated spoils and the method of finishing Caesar off. Niobe's sister Lyde comes back to see her and comforts her over Vorenus's disappearance. Badly outnumbered, Caesar and Antony make their stand at Pharsalus. On ..."
1,8,5 Mar. 2006,Caesarion,8.6,"Brutus gets a chilly reception from Servilia when he returns home from Greece. In Egypt, Caesar rebukes the advisers of the boy king, Ptolemy XIII, for their presumption in eliminating Pompey and demands the man who killed him. Caesar decides to intervene in the dispute between Ptolemy and his sister-wife, Cleopatra, to ensure both Rome's grain supply and his own access to Egypt's treasure. Antony, in an unusual show of prudence, advises against this with only half a legion in Alexandria and Cato and Scipio still at large in Africa. Caesar sends Vorenus and Pullo to ..."
1,9,12 Mar. 2006,Utica,8.4,"The defeated Cato and Scipio fall back on the African city of Utica after the Battle of Thapsus where they decide to end it all. Caesar, after two years of fighting in Greece and Egypt, returns to Rome and receives a hero's welcome. Meanwhile, Servilia's cold rage against the Julii clan makes Brutus's submission to Caesar even more painful. Octavian returns home from military school and Caesar, impressed with his nephew's incisive political acumen, appoints him a pontiff despite his youth. Having opened and operated a profitable butcher shop, Niobe and Lyde get the ..."
1,10,19 Mar. 2006,Triumph,8.5,"The price of Caesar's mercy: Cicero nominates Caesar to an unprecedented ten-year dictatorship and Brutus speaks in support of the motion. With martial authority and Niobe at his side, Vorenus campaigns for magistrate under Posca's advice, but is shocked to learn from Posca that Caesar has already fixed the election in Vorenus's favor. Meanwhile, Atia continues her humiliation of Servilia while denying any involvement in her assault. But Atia becomes troubled by the silent depression of Octavia after Octavian compels her to return home from the cloister where she had ..."
