season,episode,release,title,rating,description
1,1,3 Oct. 2008,Ambush,7.4,"Yoda, along with three clone troopers, must face off against Asajj Ventress and her droid army while on a mission to a moon of Rugosa."
1,2,3 Oct. 2008,Rising Malevolence,7.5,"General Grievous uses his latest weapon, the Malevolence, to destroy Plo Koon's fleet. Stuck in an escape pod with three clone troopers, Koon fends off more battle droids while Anakin and Ahsoka mount a rescue mission."
1,3,10 Oct. 2008,Shadow of Malevolence,7.5,"The Malevolence has been revealed to the Republic. Anakin and Shadow Squad, accompanied by Ahsoka and Master Koon, launch an attack in their new long-range Y-wing bombers."
1,4,17 Oct. 2008,Destroy Malevolence,7.5,Padmé Amidala and C-3PO are taken hostage by Grievous aboard the Malevolence. Anakin and Obi-Wan board the ship to rescue the senator and her protocol droid.
1,5,24 Oct. 2008,Rookies,7.9,"Alone on a distant outpost, Commander Cody and Captain Rex must inspire the rookie clones to believe in themselves to stave off a commando droid invasion."
1,6,7 Nov. 2008,Downfall of a Droid,6.7,Anakin must find the missing R2-D2 before the Separatists discover the Jedi military secrets locked in his memory banks.
1,7,14 Nov. 2008,Duel of the Droids,7.2,"Anakin, Ahsoka and replacement droid R3-S6 embark on a dual rescue/sabotage mission when they discover R2-D2 is being held at General Grievous' secret enemy listening post."
1,8,21 Nov. 2008,Bombad Jedi,6.2,"Padmé travels to Rodia to meet with old family friend Onaconda Farr about the lack of food rations. Unfortunately Farr has just made a deal with the Separatists. Padmé is imprisoned, leaving it up to Jar Jar Binks and C-3PO to rescue her."
1,9,5 Dec. 2008,Cloak of Darkness,8.1,"Ahsoka and Master Luminara escort captured Nute Gunray to trial, unaware that Count Dooku has dispatched his deadly apprentice Asajj Ventress to free the prisoner and eliminate the Jedi."
1,10,12 Dec. 2008,Lair of Grievous,8.3,General Grievous must prove himself worthy of the Separatists when Count Dooku leads Kit Fisto and his former Padawan to Grievous' villainous enclave.
1,11,2 Jan. 2009,Dooku Captured,7.5,"During their own attempt to kidnap Count Dooku, Anakin and Obi-Wan discover that the Sith Lord has already been captured by pirates."
1,12,9 Jan. 2009,The Gungan General,7.2,"While negotiating Count Dooku's ransom, Anakin and Obi-Wan are taken prisoner. The Jedi and Sith form an unlikely alliance in a bid to escape, with Jar Jar Binks as their only hope."
1,13,16 Jan. 2009,Jedi Crash,7.5,"Anakin is injured while rescuing Aayla Secura from Super Battle Droids equipped with rocket packs. Ahsoka crash-lands their shuttle on the neutral planet of Maridun, where the native Lurmen villagers refuse to takes sides in the war."
1,14,23 Jan. 2009,Defenders of Peace,7.6,"While the Jedi combat a new Separatist weapon, the pacifist Lurmen must decide whether they will surrender or fight with Anakin, Ahsoka and Aayla Secura."
1,15,30 Jan. 2009,Trespass,7.9,"While investigating the disappearance of a clone security force, Anakin and Obi-Wan get caught in the middle of a conflict between the territorial inhabitants of a desolate ice world and the greedy representatives of a nearby moon."
1,16,6 Feb. 2009,The Hidden Enemy,7.8,Anakin and Obi-Wan discover evidence of a traitor amongst their ranks while attempting to lead Republic forces to liberate Christophsis from a Separatist siege.
1,17,13 Feb. 2009,Blue Shadow Virus,6.8,"Evil scientist Dr. Nuvo Vindi is recreating the dreaded Blue Shadow Virus in his secret underground lab on Naboo. When he captures Senator Amidala and Jar Jar Binks, Anakin and Obi-Wan mount a rescue operation."
