season,episode,release,title,rating,description
1,1,5 Jan. 2008,Pilot,7.5,"The premiere episode introduces the boss and staff of the Dunder-Mifflin Paper Company in Scranton, Pennsylvania in a documentary about the workplace."
1,2,12 Jan. 2008,Diversity Day,8.3,"Michael's off color remark puts a sensitivity trainer in the office for a presentation, which prompts Michael to create his own."
1,3,19 Jan. 2008,Health Care,7.8,"Michael leaves Dwight in charge of picking the new healthcare plan for the staff, with disastrous results ahead."
1,4,26 Jan. 2008,The Alliance,8.1,"Just for a laugh, Jim agrees to an alliance with Dwight regarding the downsizing rumors."
1,5,2 Feb. 2008,Basketball,8.4,Michael and his staff challenge the warehouse workers to a basketball game with a bet looming over both parties.
1,6,9 Feb. 2008,Hot Girl,7.8,Michael is just one of the many male staff who start vying for the attention of an attractive saleswoman in the office.
2,1,16 Feb. 2008,The Dundies,8.7,"Very much unlike his staff, an overeager Michael can't wait for this year's annual Dundies awards."
2,2,23 Feb. 2008,Sexual Harassment,8.2,The office reviews its sexual harassment policy in light of explicit e-mails.
2,3,1 Mar. 2008,Office Olympics,8.4,"Ready to finalize his deal for a new condo, Michael is away with Dwight while Jim rallies the staff together for office games."
2,4,8 Mar. 2008,The Fire,8.4,A fire in the kitchen relegates the staff to the parking lot as help is on its way.
2,5,15 Mar. 2008,Halloween,8.1,"Michael is pressured by corporate to fire someone, which puts a damper on the office Halloween party."
2,6,22 Mar. 2008,The Fight,8.2,Jim rallies the staff together to witness a showdown between Michael and Dwight at Dwight's martial arts school.
2,7,29 Mar. 2008,The Client,8.6,"With Michael and Jan Levinson-Gould away from the office to land a new client, the staff discovers an unproduced screenplay in Michael's office."
2,8,5 Apr. 2008,Performance Review,8.2,"Instead of talking to his employees about their work, Michael uses their annual review time to gather feedback on his ""relationship"" with Jan."
2,9,12 Apr. 2008,E-Mail Surveillance,8.4,"Michael decides to set up e-mail surveillance for all company e-mail, and discovers that Jim has invited everyone over for a barbeque except him."
2,10,19 Apr. 2008,Christmas Party,8.9,"Seeing the party is headed for disastrous boredom, Michael breaks corporate policy to buy alcohol for the staff."
2,11,26 Apr. 2008,Booze Cruise,8.6,"The Dunder Mifflin staff go on a mandatory ""booze cruise"" to hear Michael give a motivational talk."
2,12,3 May 2008,The Injury,9.1,"Michael's ""injury"" from a George Foreman Grill distracts the staff from Dwight, the one with the real injury."
2,13,10 May 2008,The Secret,8.3,"Jim fears the secret he told to Michael, in confidence, will be revealed to the staff."
2,14,17 May 2008,The Carpet,7.9,Michael's office becomes the victim of an odorous prank which subjects the office to his punishment.
2,15,13 Sep. 2008,Boys and Girls,8.2,"Jan comes into the Scranton Branch to give all the female employees a group seminar on women in the workplace. Upset that he is not allowed in on the proceedings, Michael takes all the men of Dunder Mifflin down into the warehouse for some ""guy time"" with the warehouse workers. Pam is offered a chance to pursue her dreams of drawing and Roy confronts Jim about his feelings for Pam."
2,16,27 Dec. 2008,Valentine's Day,8.3,"When Michael visits Dunder Mifflin corporate headquarters in New York on Valentine's Day, he and Jan are both in for a surprise. Meanwhile, back in Scranton, the office staff celebrates Valentine's Day grade school style."
2,17,1 Jan. 2009,Dwight's Speech,8.5,Michael coaches pompous Dwight on the finer art of public speaking after being named as Salesman of the Year.
2,18,12 Dec. 2008,Take Your Daughter to Work Day,8.3,"A routine office day is changed when children come to Dunder Mifflin for ""Take Your Daughter to Work Day."" Michael is surprised when he strikes up a friendship with the five-year old daughter of his sworn enemy, Toby. Pam is desperate to befriend her colleagues' offspring and a misunderstanding puts Ryan under Stanley's thumb."
2,19,12 Dec. 2008,Michael's Birthday,8.1,"In celebration of his birthday, Michael makes a mandatory invite of the staff during the workday to go ice skating."
2,20,19 Dec. 2008,Drug Testing,8.4,Dwight plays the role of Volunteer Sheriff after finding half a joint in the Dunder Mifflin parking lot leading to an investigation. Pam gives Jim a play challenge which he tries to complete.
2,21,26 Dec. 2008,Conflict Resolution,8.7,"When Michael takes over conflict resolution duties from HR, chaos ensues at Dunder Mifflin."
2,22,2 Jan. 2009,Casino Night,9.4,The Dunder Mifflin crew holds a casino party at the warehouse and Michael has two dates.
3,1,21 Sep. 2006,Gay Witch Hunt,9.0,"Michael apologizes to Oscar, after he finds out he's gay, for calling him a homosexual slur--but his apology outs Oscar to the entire office. And Jim decides to take a promotion at the Stamford office."
3,2,28 Sep. 2006,The Convention,8.2,"Michael and Dwight go to a convention in Philadelphia and run into Jim, and Michael becomes jealous of Jim's relationship with his new boss. Meanwhile, Pam gets ready for her first date since her engagement."
3,3,5 Oct. 2006,The Coup,8.6,"Michael is in trouble once again as Jan busts him for declaring it's ""Movie Monday"" where everyone watches a movie and neglects work. Angela pushes Dwight to make a move on Michael's job while Pam and Jim find creative ways to waste time."
3,4,12 Oct. 2006,Grief Counseling,8.0,Michael takes on the role of office grief counselor when he learns that his old boss has died.
3,5,19 Oct. 2006,Initiation,8.1,Dwight takes former temp Ryan to his beet farm to initiate Ryan to his new job at Dunder Mifflin.
3,6,2 Nov. 2006,Diwali,8.0,"Michael encourages the entire Scranton branch to support Kelly and attend a local celebration of Diwali, the Hindu Festival of Lights. Meanwhile, Andy convinces Jim to turn a late night of work into a drinking game."
3,7,9 Nov. 2006,Branch Closing,8.6,"When Jan tells Michael that the Scranton Branch will be shutting down, Michael strives to keep his staff's spirits up. Meanwhile, everyone privately begins to envision how their lives will change in the aftermath."
3,8,16 Nov. 2006,The Merger,8.7,Jan informs Michael that the Scanton branch of Dunder Mifflin will be merging with the Stamford Branch. Jim and Pam are reunited while the other employees of both branches must adjust to their new co-workers.
3,9,30 Nov. 2006,The Convict,8.3,"Michael learns that one of the new employees at Dunder Mifflin Scranton has a criminal record. Meanwhile, Jim helps Andy make a move on Pam."
3,10,14 Dec. 2006,A Benihana Christmas,8.8,"Trouble among the members of the party planning committee results with Pam and Karen hosting a rival Christmas party, but Michael isn't interested in celebrating after being dumped by Carol."
3,11,4 Jan. 2007,Back from Vacation,8.5,"Michael isn't supposed to let anyone know that he and Jan went on vacation together in Jamaica, but he accidentally circulates a compromising photo of them to the office via e-mail."
3,12,11 Jan. 2007,Traveling Salesmen,8.6,"Dwight does a favor for Angela to keep her from getting in trouble. Andy finds out and uses it against him to get in tighter with Michael. Now Dwight must fess up, which will reveal his relationship with Angela, or risk getting fired."
3,13,18 Jan. 2007,The Return,8.8,"Andy does the impossible--he makes everyone in the office miss Dwight, who is forced to take a job at Staples. Meanwhile, Oscar comes back to the office and Michael predictably throws a stereotypical Mexican party to celebrate."
3,14,1 Feb. 2007,Ben Franklin,8.1,"Michael asks Jim to get a male stripper for Phyllis's office bachelorette party, but he gets a Ben Franklin impersonator instead. Meanwhile, the men's bachelor party goes as planned until Michael becomes uncomfortable with the stripper."
3,15,8 Feb. 2007,Phyllis' Wedding,8.2,"Michael exaggerates the importance of his small role in Phyllis's wedding and makes an ass out of himself, and Pam notices that Phyllis stole all of her wedding ideas from her original wedding plans."
3,16,15 Feb. 2007,Business School,8.9,"Michael is a guest speaker for Ryan's business class, but they have a falling-out after Michael finds out that Ryan spoke negatively about Dunder-Mifflin. And back at the office, Dwight tries to kill a bat that he found in the ceiling."
3,17,22 Feb. 2007,Cocktails,8.5,"While Michael and Jan go to their first Dunder Mifflin outing as an official couple, the office workers left behind go out for happy hour. During happy hour, Roy finds out that Jim and Pam kissed at Casino Night."
3,18,5 Apr. 2007,The Negotiation,9.0,"Dwight saves Jim from an attack by Roy, but Dwight won't allow Jim to thank him for it. Meanwhile, Darryl asks Michael for a pay raise, and Michael discovers that he is woefully underpaid--so Michael goes to headquarters to ask for one himself."
3,19,12 Apr. 2007,Safety Training,8.8,"Andy returns to the office after weeks of anger management training, determined to make a fresh start with all the Dunder-Mifflin employees. Meanwhile, it's safety training day in the office, and Michael and Dwight are on a mission to illuminate the dangers of the workplace."
3,20,26 Apr. 2007,Product Recall,8.7,"Michael tries to be proactive during a watermark crisis, but only makes the situation worse. Meanwhile, Angela has trouble being apologetic with customers, and Andy discovers a secret about his new girlfriend."
3,21,3 May 2007,Women's Appreciation,8.8,"Phyllis gets flashed in the parking lot, and Dwight goes all out to secure the premises. Michael ostensibly takes the women in the office to the mall to comfort them, but he's really doing it to get advice about breaking up with Jan."
3,22,10 May 2007,Beach Games,9.2,"Michael uses ""beach day"" at Dunder-Mifflin to find out which employee would be his most capable replacement, just in case he receives the promotion to the New York office that he's applied for."
3,23,17 May 2007,The Job,9.3,"Michael appoints Dwight as regional manager, anticipating that he will receive the job at corporate. Jim and Karen also interview for the same position. And Michael gets back together with Jan after she gets a boob job."
4,1,27 Sep. 2007,Fun Run,8.8,"Michael accidentally runs over Meridith in the parking lot, and his guilt causes him to organize a 5-K run for her. Dwight and Angela have a falling-out after he kills her cat, and Jim and Pam's relationship is discovered."
4,2,4 Oct. 2007,Dunder Mifflin Infinity,8.3,"Michael feels threatened when Ryan returns to the Scranton office to share his ideas about the future of Dunder Mifflin. Jim and Pam's relationship is shared with the entire office, while Angela and Dwight's relationship is on the rocks."
4,3,11 Oct. 2007,Launch Party,8.5,"The Dunder Mifflin Infinity website is launching and Michael is excited about going to the big launch party in New York while Angela plans a satellite party for the Scranton branch. Meanwhile, Dwight competes against the website to see who can sell the most paper in one day."
4,4,18 Oct. 2007,Money,8.7,"As Jan renovates the condo, Michael confronts his growing debt every way he can, which includes pressuring his employees for a loan. Pam and Jim spend a night out on Dwight's family beet farm, now a bed and breakfast."
4,5,25 Oct. 2007,Local Ad,8.8,"Michael tries to make a local Dunder Mifflin commercial that is better than the one the professional ad agency made for them. Meanwhile, Andy tries to confide in Dwight about his new relationship with Angela."
4,6,1 Nov. 2007,Branch Wars,8.5,"Michael and Dwight try to play a prank on Karen, who is now manager of the Utica branch, after she tries to steal Stanley from the Scranton office. Meanwhile, Pam, Toby, and Oscar start their own exclusive office book club."
4,7,8 Nov. 2007,Survivor Man,8.2,"After Michael isn't invited to a camping trip with Ryan, he sets out to prove that he can brave it out in the wilderness by himself. Jim, who is in charge of the office while Michael is gone, tries to change the birthday party policy."
4,8,15 Nov. 2007,The Deposition,8.7,"Michael is put in an awkward position when Jan sues Dunder Mifflin for wrongful termination and he is deposed as a witness. Meanwhile, Kelly begins smack-talking Pam after Darryl beats Jim at Ping-Pong."
4,9,10 Apr. 2008,Dinner Party,9.5,"Michael invites Jim and Pam and Andy and Angela to a couples-only dinner party, which makes Dwight very jealous. However, the only thing he's missing is a ringside seat to witness Michael and Jan's extremely dysfunctional home life."
4,10,17 Apr. 2008,Chair Model,8.0,"Kevin and Andy team up to reclaim the stolen Dunder Mifflin parking spaces, which forces them into a showdown with the other four bosses of the office park. Meanwhile, Michael becomes fascinated by a woman modeling chairs in a catalog."
4,11,24 Apr. 2008,Night Out,8.6,"Michael and Dwight go to New York to party with Ryan, who is having lots of personal and professional problems. The rest of the office employees work late, and wind up getting locked in the business park."
4,12,1 May 2008,Did I Stutter?,8.3,"Michael tries to figure out how to respond to Stanley's insubordination during a meeting, and Dwight buys Andy's vehicle and immediately flips it for more money."
4,13,8 May 2008,Job Fair,7.8,"Dunder-Mifflin participates in a high school job fair, but few students are interested. Jim, Andy, and Kevin play a round of golf with a prospective client. Back at the office, everyone but Dwight and Angela leave for the day."
