season,episode,release,title,rating,description
1,1,15 Jul. 2010,Guadalcanal/Leckie,8.1,Veteran Sergeant John Basilone ships out soon after Pearl Harbor for Guadalcanal while other young enlistees are sent to boot camp.
1,2,22 Jul. 2010,Basilone,8.3,"Outmanned and with supplies low, Basilone and other marines on Guadacanal rally to repel superior Japanese forces."
1,3,29 Jul. 2010,Melbourne,7.5,"After arduous months in Guadalcanal, exhausted marines are given rest and recreation in Melbourne, where they find the girls friendly and the beer cold."
1,4,5 Aug. 2010,Gloucester/Pavuvu/Banika,7.7,"After leaving Melbourne, the weather works against the leathernecks as Lechie falls seriously ill and Sledge gets assigned to New Britain."
1,5,12 Aug. 2010,Peleliu Landing,8.3,"Basilone's fame keeps him in the U.S. selling war bonds, Leckie rejoins his company, and Sledge is reunited with Phillips in Pavuvu."
1,6,19 Aug. 2010,Peleliu Airfield,8.5,Water is in short supply and the stifling heat takes control on Peleliu as Leckie is wounded and evacuated.
1,7,26 Aug. 2010,Peleliu Hills,8.5,Sledge finds the carnage and death of his companions on Peleilu increasingly difficult to bear as Basilone continues his bond drive in the States.
1,8,2 Sep. 2010,Iwo Jima,8.1,"Frustrated with his bond selling tour, Basilone goes back to training troops and after marrying a pretty marine sergeant, leads his men at Iwo Jima."
1,9,9 Sep. 2010,Okinawa,8.8,The 1st Marine Division fight a determined Japanese force on Okinawa who prefer death to surrender and are indifferent to the lives of Okinawan civilians.
1,10,16 Sep. 2010,Home,8.3,After V-J Day Leckie and Sledge return home and try to readjust to civilian life.
