season,episode,release,title,rating,description
1,1,12 Mar. 2000,Pilot,8.6,A mobster passes out at a family barbecue and seeks therapy to understand why.
1,2,17 Jan. 1999,46 Long,8.5,Tony is getting fed up with his mother. Brendan Filone acts against Tony's wishes. Salvatore and Paulie try to track down A.J.'s teacher's stolen car.
1,3,24 Jan. 1999,"Denial, Anger, Acceptance",8.7,"Tony encourages an unwanted son-in-law to divorce, Carmela learns another secret of Tony's, Meadow experiments with speed to study for the SATs, and Chris and Brendan find out the price of disrespecting Junior."
1,4,31 Jan. 1999,Meadowlands,8.7,"Jackie's death leaves a power vacuum, Brendan's death leaves Chris fearing for his life, and Anthony's discovery of what his father really does leaves him confused."
1,5,7 Feb. 1999,College,8.9,"While visiting colleges with Meadow, Tony spots a snitch. Carmela, meanwhile, discovers something about Dr. Melfi."
1,6,14 Feb. 1999,Pax Soprana,8.6,"Tony tries to balance Junior against the other capos, while Carmela reasserts herself as the woman in Tony's life."
1,7,21 Feb. 1999,Down Neck,8.5,"Anthony has disciplinary problems at school, prompting Tony to recount memories of his childhood with Dr. Melfi."
1,8,28 Feb. 1999,The Legend of Tennessee Moltisanti,8.7,"The FBI begins closing in on the DiMeo family. Tony and Carmela are angry over all the attention Italians get from the authorities, while Chris fumes that he's not getting enough attention."
1,9,7 Mar. 1999,Boca,8.6,"The capos discuss what to do about the local soccer coach, while Junior's mouth causes him some embarrassment."
1,10,14 Mar. 1999,A Hit Is a Hit,8.1,"Tony tries to branch out into legitimate investments, while Chris and Adriana decide to try their hands at music production."
1,11,21 Mar. 1999,Nobody Knows Anything,8.8,"Following the arrest of two of his men, Tony suspects a traitor. Efforts to discover who, however, are stymied."
1,12,28 Mar. 1999,Isabella,9.1,"The stress Tony is going through begins to take its toll, and the hit Junior has ordered doesn't help."
1,13,4 Apr. 1999,I Dream of Jeannie Cusamano,9.2,"Tony starts cleaning house, while Artie feels torn between keeping the peace in his household, and getting even with Tony for destroying his restaurant."
2,1,16 Jan. 2000,Guy Walks Into a Psychiatrist's Office,8.4,"Pussy returns after months in hiding, Chris starts a boiler room stock operation, and Tony's long-lost sister shows up on the doorstep."
2,2,23 Jan. 2000,Do Not Resuscitate,8.3,"Junior leaves prison due to ill health and placed under house arrest, while Livia's health also declines. Pussy begins talking with someone interested in learning more about Tony."
2,3,30 Jan. 2000,Toodle-Fucking-Oo,8.5,Richie Aprile gets out after ten years in prison and starts reasserting his authority while unaware of the changes made in the crime family's archetype. Meadow gets in trouble after a party gets out of hand.
2,4,6 Feb. 2000,Commendatori,8.7,"Tony, Paulie and Chris travel to Naples to conduct a business deal, while Pussy becomes more stressed over trying to balance his secret lives."
2,5,13 Feb. 2000,Big Girls Don't Cry,8.6,"Paulie and Silvio get promoted, Furio gets welcomed, Pussy gets pushed aside, and Chris gets frustrated with his Hollywood aspirations."
2,6,20 Feb. 2000,The Happy Wanderer,8.7,"Tony's old school friend digs himself into trouble with his gambling, while Tony's family problems only continue to grow."
2,7,27 Feb. 2000,D-Girl,8.7,"Anthony continues to cause problems at home, while Pussy's divided loyalties cause him greater anguish."
2,8,5 Mar. 2000,Full Leather Jacket,8.9,"Rebellion by some of the lower soldiers ends in bloodshed, while Carmela starts intimidating her neighbors to help Meadow's chances at Georgetown."
2,9,12 Mar. 2000,From Where to Eternity,8.8,"Chris awakens from his coma with a message for Tony and Paulie. Carmela, meanwhile, wants Tony to take a cut."
2,10,19 Mar. 2000,Bust-Out,8.6,"Tony continues putting the squeeze on David, while Richie discusses the possibility with Junior of removing some competition while 'Big Pussy' Bonpensiero continues to be an informant."
2,11,26 Mar. 2000,House Arrest,8.3,"Junior feels the restrictions of his house arrest acutely, while Tony starts putting in hours at his actual job to allay FBI suspicions, while Junior and Richie uses the garbage pick up routes for a double purpose."
2,12,2 Apr. 2000,The Knight in White Satin Armor,9.3,"Richie and Janice get engaged, but Richie's violent temper finally takes him too far. Tony, meanwhile, breaks up with Irina, much to her dismay."
2,13,9 Apr. 2000,Funhouse,9.4,"Tony gets sick from food poisoning and blames Artie's restaurant. Pussy, meanwhile, reaches the end of the line."
3,1,4 Mar. 2001,Mr. Ruggerio's Neighborhood,8.7,"The FBI has trouble finding a new informant, so they attempt to bug the Soprano home. Meanwhile, Anthony continues to get into trouble at school."
3,2,4 Mar. 2001,"Proshai, Livushka",8.7,"Livia dies of a stroke, bringing the family together one more time for the funeral where old tensions resurface."
3,3,11 Mar. 2001,Fortunate Son,8.5,"Chris becomes a made man, while Tony experiences another panic attack. Meadow continues to seethe over Tony's treatment of her boyfriend."
3,4,18 Mar. 2001,Employee of the Month,9.1,"Dr. Melfi is brutally attacked, and when the justice system lets her down, she must consider asking Tony for help."
3,5,25 Mar. 2001,Another Toothpick,8.7,"Tony and Carmela try a therapy session together, which ends in an angry dispute. Artie, meanwhile, tries to move in on Adriana."
3,6,1 Apr. 2001,University,8.7,"Noah and Meadow's relationship is disrupted by her roommate, while Ralphie starts getting rough with one of the strippers from the Bada Bing causing Tony to intervene and questionably violating one of the mafia codes of conduct."
3,7,8 Apr. 2001,Second Opinion,8.5,"Junior continues his cancer treatments, but the prognosis is iffy. Chris, meanwhile, finds himself under suspicion from Paulie."
3,8,15 Apr. 2001,He Is Risen,8.4,"Tensions rise between Tony and Ralphie until circumstances demand that they resolve their differences. Meadow gets involved with Jackie's son, and ends up in trouble."
3,9,22 Apr. 2001,The Telltale Moozadell,8.3,"Tony continues seeing Gloria, another of Dr. Melfi's patients, while Meadow continues seeing Jackie Jr."
3,10,29 Apr. 2001,To Save Us All from Satan's Power,8.5,"Tony starts having flashbacks about Pussy's betrayal, and then later discovers that Jackie Jr. has been failing in his responsibilities."
3,11,6 May 2001,Pine Barrens,9.7,"While Silvio has the flu, Chris and Paulie run his collections for him, which results in the pair getting lost in the woods and nearly freezing to death while Tony's affair with Gloria goes sour as does Meadow's relationship with Jackie Jr."
3,12,13 May 2001,Amour Fou,9.2,"Gloria grows increasingly demanding until Tony realizes who she is, and Jackie Jr. ends up in very serious trouble when Chris realizes who he is."
3,13,20 May 2001,Army of One,9.0,"Ralphie issues his final decision on the fate of Jackie Jr., Anthony Jr., faces military school after getting expelled, Paulie and Ralphie have a financial conflict while the FBI assigns Adriana a new ""friend."""
4,1,15 Sep. 2002,For All Debts Public and Private,8.3,"Chris puts a ghost from his past to rest, while Carmela grows uneasy about her future."
4,2,22 Sep. 2002,No Show,8.3,"Chris' success earns him some jealousy, Adriana learns the truth about her friend, and Meadow still claims that Jackie Jr.'s death still weighs heavily on her."
4,3,29 Sep. 2002,Christopher,7.9,"Columbus Day ignites tensions between Italians and Native Americans, and Bobby receives devastating news about his wife."
4,4,6 Oct. 2002,The Weight,8.5,"A joke sparks a series of hit contracts, while Carmela finds herself happier than perhaps she should be that Furio will be around for good."
4,5,13 Oct. 2002,Pie-o-My,8.2,"Ralph buys a racehorse, but Tony ends up more attached to it than Ralphie is. Carmela starts trying to invest in her future."
4,6,20 Oct. 2002,Everybody Hurts,8.4,"Tony feels depressed over the negative impact he has on people who don't deserve it, while Carmela tries to set up Furio with a friend, AJ is uncomfortable with his girlfriend's wealth, Artie attempts a new business venture."
4,7,27 Oct. 2002,Watching Too Much Television,8.2,"Adriana learns that life is not like TV shows, while Tony discovers that a former girlfriend has moved on, along with Ralphie and others they scam the Department of Housing and Urban Development."
4,8,3 Nov. 2002,Mergers and Acquisitions,8.2,"Paulie has to take care of some rough relationships for his mother, while Tony's fancy for a fellow horse fancier lands him in trouble with Carmela."
4,9,10 Nov. 2002,Whoever Did This,9.2,"Ralph's callous behavior finally steps over the line, while Chris gets deeper into his heroin addiction and Uncle Junior's mental capacity begins to become in question."
4,10,17 Nov. 2002,"The Strong, Silent Type",8.8,"In the midst of suspicions that he killed Ralph, Tony tries to intervene to get Chris clean and sober."
4,11,24 Nov. 2002,Calling All Cars,8.1,"Tony's dreams seem to tell him where his life is headed, but he still feels as though he's out of control."
4,12,1 Dec. 2002,Eloise,8.3,"Carmela and Furio grow too close for safety, while Paulie discovers that he's not as big a fish as he thought he was."
4,13,8 Dec. 2002,Whitecaps,9.1,"Junior's trial comes to an end, but Tony's trials are just getting underway. Also, the Sopranos almost purchase a house on the beach."
5,1,7 Mar. 2004,Two Tonys,8.7,"Some of the old guards are released from prison and want to get back in the action. Chris and Paulie are at each other's throats over matters of money and respect, and Tony decides to tell Dr. Melfi what's really on his mind."
5,2,14 Mar. 2004,Rat Pack,8.5,"Carmine's passing opens new wounds, while cousin Tony wants to put his past behind him. Tony Soprano, meanwhile, discovers a traitor."
5,3,21 Mar. 2004,Where's Johnny?,8.7,"With Carmine's passing and Feech's arrival, turf wars are breaking out around New Jersey. Junior's mental health, meanwhile, starts to decline."
5,4,28 Mar. 2004,All Happy Families,8.6,Feech makes a pain of himself by trying to return to his past glory. Carmela tries to work with Anthony's teacher to rein in the out-of-control son.
5,5,4 Apr. 2004,Irregular Around the Margins,9.2,"A car crash puts Tony and Adriana in a compromising position, and Cousin Tony tries to keep Chris from getting wrong the impression and wrong information."
5,6,11 Apr. 2004,Sentimental Education,8.3,"Carmela has another furtive romance collapse, while Tony B. throws away a chance to turn his life around."
5,7,18 Apr. 2004,In Camelot,8.2,"Tony learns about his father through the man's mistress, while Chris' friend learns that there are habits more harmful to your health than heroin."
5,8,25 Apr. 2004,Marco Polo,8.8,"An uncomfortable party leads Tony and Carmela to a partial reconciliation, while cousin Tony gets an offer he decides not to refuse."
5,9,2 May 2004,Unidentified Black Males,8.8,"Tony finds out that his cousin wants a bigger share of responsibilities, while Finn makes an embarrassing discovery about Vito."
5,10,9 May 2004,Cold Cuts,8.7,"Chris and cousin Tony do some digging to make sure old secrets stay buried, while Janice puts her marriage in jeopardy with her fierce temper."
5,11,16 May 2004,The Test Dream,8.6,"Cousin Tony heads off to avenge the death of his good friend, while a dream reveals to Tony what he must do to prevent a full-scale war."
5,12,23 May 2004,Long Term Parking,9.6,"Tony makes a request to Johnny Sack on behalf of his cousin, and Adriana makes a request to the FBI, followed by one to Chris."
5,13,6 Jun. 2004,All Due Respect,9.2,Tony realizes that he must take care of family messes himself in order to keep the peace within his own clan.
6,1,20 Sep. 2006,Members Only,9.2,"Gene Pontecorvo makes a final break from the mob life, while Junior's paranoid delusions could be the end of Tony."
6,2,27 Sep. 2006,Join the Club,8.7,"The family tries to cope with Tony's hospitalization and possibly impending death, while Tony begins to hallucinate a new life parallel to his own."
6,3,4 Oct. 2006,Mayham,8.8,"While the gang begins to turn on itself, Tony finds himself at the threshold, while Christopher gives another try to enter the movie business, however this time as a producer rather than a screenwriter."
6,4,11 Oct. 2006,The Fleshy Part of the Thigh,8.5,"Tony goes home and returns to business, perhaps with a new frame of mind. Paulie receives a shock about his mother."
6,5,18 Oct. 2006,Mr. & Mrs. John Sacrimoni Request,8.8,Johnny Sack is granted permission to get out of prison for his daughter's wedding; Tony's on the look out for personal protection and Vito's secret double life is exposed.
6,6,25 Oct. 2006,Live Free or Die,8.6,Tony hires help from overseas to fulfill a favor he was asked for by Johnny Sack and decides if one of his top earners deserves a second chance as he acknowledges to Dr. Melfi he was given a second chance when survived his gun shot wound.
6,7,1 Nov. 2006,Luxury Lounge,8.3,Christopher and Carmine travel to Hollywood to take the next step in making their movie but quickly realize they're out of their depth. Artie's restaurant falls prey to one of Tony's scams that was ran by Benny.
6,8,8 Nov. 2006,Johnny Cakes,8.4,"Vito considers starting a new life in New Hampshire, while Anthony Jr. looking for a purpose and finds it when he continues his pursuit of revenge against Junior."
6,9,15 Nov. 2006,The Ride,8.4,"Paulie finds public opinion turned against him after an amusement ride accident, while Chris tries to start a new life as a husband and father."
6,10,22 Nov. 2006,Moe n' Joe,8.3,"Tony reflects on how growing up with Janice colors his attitudes now, while Vito tries to make a new life for himself in New Hampshire."
6,11,29 Nov. 2006,Cold Stones,8.7,"Phil takes out his revenge on Vito, while Tony grows frustrated with Anthony's lack of ambition or work ethic."
6,12,6 Dec. 2006,Kaisha,8.3,"Tony and Phil begin an explosive conflict that puts Phil in the hospital, while Christopher and Tony both embark on new romances with the same woman."
6,13,5 Dec. 2007,Soprano Home Movies,9.0,Carmela and Tony go away to Bobby's cabin upstate New York for Tony's birthday up where a fight emerges between Tony and Bobby over Janice. Meanwhile A.J. is throwing a party at the Soprano home.
6,14,12 Dec. 2007,Stage 5,8.8,"Johnny Sac finds out he only has 3 months to live. Meanwhile, 'Cleaver' premieres and is a hit, while Carmela has mixed emotions about it, saying too much of it is based on Tony."
6,15,19 Dec. 2007,Remember When,8.6,Paulie shows up at Tony's house to tell him he's learned the Feds are looking into a murder case from the early 1980s. In fact it was Tony's first killing where he made his 'bones'. Tony decides he and Paulie need to lay low for a while and they head off on a road trip to Florida. They reminisce about the old days but Paulie is definitely getting on Tony's nerves. They also find that many things along the route have changed over the years. Tony is particularly interested in knowing who may have told Johnny Sack about the fat joke directed at his wife. Uncle Junior ...
6,16,2 Jan. 2008,Chasing It,8.1,"At the Borgata Casino, Tony decides to let it ride after winning at roulette. Tony loses everything he'd won, and then some, on 23. Meanwhile, Vito Jr. is going through a rebellious phase. Tony asks Phil to talk to Vito Jr. Phil grudgingly agrees. AJ proposes to Blanca over a nice dinner, promising her that he will rise from pizzeria night manager to restaurant chain owner in no time, and coaxes a ""yes"" out of her. At the Puerto Rican day parade, Blanca meets up with AJ and returns his engagement ring, telling him she just doesn't feel it."
6,17,9 Jan. 2008,Walk Like a Man,8.8,"Christopher and Paulie are making a lot of money off selling stolen tools through Christopher's father-in-law, Al Lombardo. When some of Paulie's guys break into Al's store to take some of the equipment, Christopher goes ballistic and takes matters into his own hands. Paulie has his own way of getting back at him. Tony takes Christopher to task for not being around much. Christopher explains the temptations at places like the Bing but Tony is anything but sympathetic. Christopher is soon drinking again and it leads to tragedy. Tony tells Agent Dwight Harris about the ..."
6,18,16 Jan. 2008,Kennedy and Heidi,9.1,"Tony travels to Las Vegas, after a tragedy occurs."
6,19,23 Jan. 2008,The Second Coming,9.2,Tony fails to reason with Phil as more problems increase with Anthony Jr as his depression worsens.
6,20,30 Jan. 2008,The Blue Comet,9.6,"The Beginning of the End. Phil finally puts the hits on the Soprano clan and Tony puts a hit on Phil which results in mistaken identity making everyone think its safe when its not and it results in a Death and Coma. After this happens Tony separates from his family to go into hiding as he sends Carmela, Janice, and the kids into hiding."
6,21,6 Feb. 2008,Made in America,9.3,Tony and his family have to stay in hiding until Phil Leotardo is dealt with. His family doesn't like the lifestyle they have been forced to adopt. AJ and Meadow move onto the next step in their lives. Tony confronts Junior one last time.
